taxon_id	ncbi_id	url
101179	1925000	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1925000
101185	181620	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/181620
101190	181652	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/181652
101195	60005	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/60005
101198	141413	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/141413
101264	181653	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/181653
101282	1606869	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1606869
101289	641206	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/641206
101335	394800	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/394800
101350	141414	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/141414
1028	27945	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/27945
103425	172821	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/172821
103429	172823	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/172823
103430	172824	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/172824
103989	33652	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/33652
103990	167960	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/167960
103991	127147	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/127147
104002	272144	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/272144
104012	33653	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/33653
104015	167961	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/167961
104016	127148	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/127148
105501	698874	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/698874
105502	81532	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/81532
105505	1864601	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1864601
105506	258835	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/258835
105510	1864605	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1864605
105511	1864619	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1864619
105513	28013	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/28013
105518	1925537	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1925537
105520	1864613	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1864613
105522	1764571	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1764571
105526	473816	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/473816
105529	81534	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/81534
105531	216891	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/216891
105532	81527	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/81527
105535	81525	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/81525
105536	218847	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/218847
105541	86017	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/86017
105546	698876	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/698876
105548	81533	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/81533
105557	1864616	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1864616
105559	1864603	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1864603
105561	1864604	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1864604
105568	1864606	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1864606
105569	1864621	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1864621
105571	28014	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/28014
105573	1079979	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1079979
105574	1864611	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1864611
105575	1864612	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1864612
105598	1864614	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1864614
105607	1764572	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1764572
105612	473817	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/473817
105613	1909275	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1909275
105617	698872	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/698872
