Link to NORCCA website	scientific_name	AphiaID
https://norcca.scrol.net/species/tetraselmis-marina	Tetraselmis marina	376158
https://norcca.scrol.net/species/vaucheria-litorea	Vaucheria litorea	146024
https://norcca.scrol.net/species/vaucheria-canalicularis	Vaucheria canalicularis	238754
https://norcca.scrol.net/species/vaucheria-erythrospora	Vaucheria erythrospora	146022
https://norcca.scrol.net/species/vaucheria-synandra	Vaucheria synandra	146031
https://norcca.scrol.net/species/trichothyra-irregularis	Trichothyra irregularis	373218
https://norcca.scrol.net/species/prymnesium-nemamethecum	Prymnesium nemamethecum	345517
https://norcca.scrol.net/species/apocalathium-malmogiense	Apocalathium malmogiense	1380043
https://norcca.scrol.net/species/vaucheria-bursata	Vaucheria bursata	240524
https://norcca.scrol.net/species/haematococcus-sp	Haematococcus	428522
https://norcca.scrol.net/species/amphidinium-carterae	Amphidinium carterae	109723
https://norcca.scrol.net/species/synechococcus-sp	Synechococcus	160572
https://norcca.scrol.net/species/bathycoccus-prasinos	Bathycoccus prasinos	345459
https://norcca.scrol.net/species/streblonema-zanardinii	Streblonema zanardinii	145474
https://norcca.scrol.net/species/chlorocystis-cohnii	Chlorocystis cohnii	144898
https://norcca.scrol.net/species/punctaria-tenuissima	Punctaria tenuissima	145348
https://norcca.scrol.net/species/ectocarpus-siliculosus	Ectocarpus siliculosus	145410
https://norcca.scrol.net/species/chroomonas-vectensis	Chroomonas vectensis	106295
https://norcca.scrol.net/species/rhodomonas-marina	Rhodomonas marina	106314
https://norcca.scrol.net/species/brachiomonas-submarina	Brachiomonas submarina	345437
https://norcca.scrol.net/species/olisthodiscus-luteus	Olisthodiscus luteus	233765
https://norcca.scrol.net/species/ulvaria-fusca	Ulvaria fusca	494992
https://norcca.scrol.net/species/ostreobium-quekettii	Ostreobium quekettii	145095
https://norcca.scrol.net/species/blastophysa-rhizopus	Blastophysa rhizopus	144478
https://norcca.scrol.net/species/vaucheria-dillwynii	Vaucheria dillwynii	656435
https://norcca.scrol.net/species/heterocapsa-triquetra	Heterocapsa triquetra	1346683
https://norcca.scrol.net/species/heterocapsa-rotundata	Heterocapsa rotundata	110152
https://norcca.scrol.net/species/chlamydomonas-sp	Chlamydomonas	178583
https://norcca.scrol.net/species/bigelowiella-natans	Bigelowiella natans	376277
https://norcca.scrol.net/species/asperococcus-fistulosus	Asperococcus fistulosus	145313
https://norcca.scrol.net/species/hemiselmis-sp	Hemiselmis	106287
https://norcca.scrol.net/species/porphyridium-purpureum	Porphyridium purpureum	145788
https://norcca.scrol.net/species/hincksia-ovata	Hincksia ovata	145438
https://norcca.scrol.net/species/stylonema-alsidii	Stylonema alsidii	145688
https://norcca.scrol.net/species/feldmannia-irregularis	Feldmannia irregularis	145415
https://norcca.scrol.net/species/microcystis-aeruginosa	Microcystis aeruginosa	146558
https://norcca.scrol.net/species/dolichospermum-lemmermannii	Dolichospermum lemmermannii	625374
https://norcca.scrol.net/species/microcystis-sp	Microcystis	146557
https://norcca.scrol.net/species/planktothrix-cf-agardhii	Planktothrix cf. agardhii	146552
https://norcca.scrol.net/species/audouinella-pectinata	Audouinella pectinata	1310072
https://norcca.scrol.net/species/nephroselmis-pyriformis	Nephroselmis pyriformis	134541
https://norcca.scrol.net/species/coelastrum-sp	Coelastrum	160550
https://norcca.scrol.net/species/haptolina-ericina	Haptolina ericina	624976
https://norcca.scrol.net/species/prymnesium-kappa	Prymnesium kappa	624968
https://norcca.scrol.net/species/vaucheria-prona	Vaucheria prona	610095
https://norcca.scrol.net/species/planktothrix-rubescens	Planktothrix rubescens	572064
https://norcca.scrol.net/species/hincksia-hincksiae	Hincksia hincksiae	145435
https://norcca.scrol.net/species/chattonella-subsalsa	Chattonella subsalsa	246590
https://norcca.scrol.net/species/vaucheria-bursata-sl	Vaucheria bursata s.l.	240524
https://norcca.scrol.net/species/chrysochromulina-cymbium	Chrysochromulina cymbium	115114
https://norcca.scrol.net/species/dolichomastix-tenuilepis	Dolichomastix tenuilepis	345463
https://norcca.scrol.net/species/chrysochromulina-ahrengotii	Chrysochromulina ahrengotii	612313
https://norcca.scrol.net/species/polarella-glacialis	Polarella glacialis	232248
https://norcca.scrol.net/species/dunaliella-tertiolecta	Dunaliella tertiolecta	178590
https://norcca.scrol.net/species/oxyrrhis-marina	Oxyrrhis marina	109902
https://norcca.scrol.net/species/asterosiphon-dichotomus	Asterosiphon dichotomus	616943
https://norcca.scrol.net/species/chrysochromulina-scutellum	Chrysochromulina scutellum	612318
https://norcca.scrol.net/species/gymnodinium-nolleri	Gymnodinium nolleri	109818
https://norcca.scrol.net/species/pylaiella-littoralis	Pylaiella littoralis	157188
https://norcca.scrol.net/species/prymnesium-polylepis	Prymnesium polylepis	670030
https://norcca.scrol.net/species/nitzschia-navis-varingica	Nitzschia navis-varingica	246595
https://norcca.scrol.net/species/dicrateria-sp	Dicrateria	115085
https://norcca.scrol.net/species/rhodothamniella-floridula	Rhodothamniella floridula	145777
https://norcca.scrol.net/species/pyramimonas-melkonianii	Pyramimonas melkonianii	643529
https://norcca.scrol.net/species/isochrysis-sp	Isochrysis	248124
https://norcca.scrol.net/species/protoceratium-reticulatum	Protoceratium reticulatum	110321
https://norcca.scrol.net/species/fragilariopsis-nana	Fragilariopsis nana	556587
https://norcca.scrol.net/species/prorocentrum-lima	Prorocentrum lima	110301
https://norcca.scrol.net/species/chrysochromulina-acantha	Chrysochromulina acantha	115108
https://norcca.scrol.net/species/haramonas-dimorpha	Haramonas dimorpha	608356
https://norcca.scrol.net/species/chrysotila-placolithoides	Chrysotila placolithoides	840489
https://norcca.scrol.net/species/aglaothamnion-byssoides	Aglaothamnion byssoides	144501
https://norcca.scrol.net/species/crustomastix-stigmatica	Crustomastix stigmatica	376127
https://norcca.scrol.net/species/hormidiella-parvula	Hormidiella parvula	617151
https://norcca.scrol.net/species/karlodinium-armiger	Karlodinium armiger	370510
https://norcca.scrol.net/species/skeletonema-marinoi	Skeletonema marinoi	376667
https://norcca.scrol.net/species/jadwigia-applanata	Jadwigia applanata	619820
https://norcca.scrol.net/species/ulvella-leptochaete	Ulvella leptochaete	732246
https://norcca.scrol.net/species/tetraselmis-levis	Tetraselmis levis	376156
https://norcca.scrol.net/species/borghiella-dodgei	Borghiella dodgei	623370
https://norcca.scrol.net/species/heterocapsa-pygmaea	Heterocapsa pygmaea	233625
https://norcca.scrol.net/species/peridinium-willei	Peridinium willei	110198
https://norcca.scrol.net/species/microcystis-botrys	Microcystis botrys	578236
https://norcca.scrol.net/species/cladophora-rupestris	Cladophora rupestris	145064
https://norcca.scrol.net/species/alexandrium-tamarense	Alexandrium tamarense	109714
https://norcca.scrol.net/species/gymnodinium-corollarium	Gymnodinium corollarium	623645
https://norcca.scrol.net/species/apocalathium-aciculiferum	Apocalathium aciculiferum	1359179
https://norcca.scrol.net/species/alexandrium-minutum	Alexandrium minutum	109711
https://norcca.scrol.net/species/mougeotia-genuflexa	Mougeotia genuflexa	609346
https://norcca.scrol.net/species/zygnema-subcylindricum	Zygnema subcylindricum	614102
https://norcca.scrol.net/species/oedogonium-cardiacum	Oedogonium cardiacum	608526
https://norcca.scrol.net/species/phaeothamnion-sp	Phaeothamnion	600910
https://norcca.scrol.net/species/calothrix-parietina	Calothrix parietina	239094
https://norcca.scrol.net/species/cosmarium-obtusatum	Cosmarium obtusatum	611104
https://norcca.scrol.net/species/desmodesmus-armatus	Desmodesmus armatus	612499
https://norcca.scrol.net/species/chlamydomonas-debaryana	Chlamydomonas debaryana	608403
https://norcca.scrol.net/species/gonium-pectorale	Gonium pectorale	577672
https://norcca.scrol.net/species/volvox-aureus	Volvox aureus	578347
https://norcca.scrol.net/species/pterothamnion-plumula	Pterothamnion plumula	144683
https://norcca.scrol.net/species/ophiocytium-arbusculum	Ophiocytium arbusculum	610076
https://norcca.scrol.net/species/chlamydomonas-reinhardtii	Chlamydomonas reinhardtii	608420
https://norcca.scrol.net/species/pandorina-morum	Pandorina morum	577877
https://norcca.scrol.net/species/spirogyra-singularis	Spirogyra singularis	609404
https://norcca.scrol.net/species/porphyridium-aerugineum	Porphyridium aerugineum	145787
https://norcca.scrol.net/species/acrosiphonia-sonderi	Acrosiphonia sonderi	144412
https://norcca.scrol.net/species/cryptomonas-sp	Cryptomonas	106282
https://norcca.scrol.net/species/draparnaldia-sp	Draparnaldia	422898
https://norcca.scrol.net/species/pediastrum-sp	Pediastrum	160561
https://norcca.scrol.net/species/staurastrum-hexacerum	Staurastrum hexacerum	578393
https://norcca.scrol.net/species/ditylum-brightwellii	Ditylum brightwellii	149023
https://norcca.scrol.net/species/tovellia-coronata	Tovellia coronata	619818
https://norcca.scrol.net/species/scrippsiella-sp	Scrippsiella	109545
https://norcca.scrol.net/species/coscinodiscus-granii	Coscinodiscus granii	149271
https://norcca.scrol.net/species/bangia-atropurpurea	Bangia atropurpurea	144423
https://norcca.scrol.net/species/ulothrix-sp	Ulothrix	144287
https://norcca.scrol.net/species/levanderina-fissa	Levanderina fissa	840689
https://norcca.scrol.net/species/chaetomorpha-linum	Chaetomorpha linum	145027
https://norcca.scrol.net/species/protectocarpus-speciosus	Protectocarpusciosus	144986
https://norcca.scrol.net/species/carteria-sp	Carteria	367250
https://norcca.scrol.net/species/pterosperma-sp	Pterosperma	160595
https://norcca.scrol.net/species/vaucheria-taylorii	Vaucheria taylorii	616341
https://norcca.scrol.net/species/vaucheria-frigida-sl	Vaucheria frigida s.l.	555953
https://norcca.scrol.net/species/geitlerinema-amphibium	Geitlerinema amphibium	1313613
https://norcca.scrol.net/species/oscillatoria-sancta	Oscillatoria sancta	177518
https://norcca.scrol.net/species/scrippsiella-acuminata	Scrippsiella acuminata	1321853
https://norcca.scrol.net/species/karlodinium-decipiens	Karlodinium decipiens	531344
https://norcca.scrol.net/species/prorocentrum-micans	Prorocentrum micans	110303
https://norcca.scrol.net/species/dictyosphaerium-sp	Dictyosphaerium	178623
https://norcca.scrol.net/species/pyrocystis-pseudonoctiluca	Pyrocystis pseudonoctiluca	573782
https://norcca.scrol.net/species/cosmarium-reniforme	Cosmarium reniforme	578406
https://norcca.scrol.net/species/desmodesmus-communis	Desmodesmus communis	576237
https://norcca.scrol.net/species/gymnodinium-sp	Gymnodinium	109475
https://norcca.scrol.net/species/chromulina-nebulosa	Chromulina nebulosa	610218
https://norcca.scrol.net/species/naegeliella-flagellifera	Naegeliella flagellifera	610279
https://norcca.scrol.net/species/chrysolepidomonas-dendrolepidota	Chrysolepidomonas dendrolepidota	612319
https://norcca.scrol.net/species/chrysocapsa-flavescens	Chrysocapsa flavescens	708128
https://norcca.scrol.net/species/epipyxis-pulchra	Epipyxis pulchra	627576
https://norcca.scrol.net/species/epipyxis-sp	Epipyxis	248119
https://norcca.scrol.net/species/epipyxis-aurea	Epipyxis aurea	614445
https://norcca.scrol.net/species/hibberdia-magna	Hibberdia magna	699376
https://norcca.scrol.net/species/lagynion-scherffelii	Lagynion scherffelii	610253
