taxon_id	scientific_name	id	toxin_group	recommended_name	recommended_acronym	url
624065	Halamphora coffeaeformis	11	β-N-methylamino-L-alanine	β-N-Methylamino-L-alanine	BMAA	https://toxins.hais.ioc-unesco.org/toxins/11/
836508	Kamptonema	465	Cylindrospermopsin	Cylindrospermopsin	CYN	https://toxins.hais.ioc-unesco.org/toxins/465/
233037	Karlodinium veneficum	10	Sterolysins	Karlotoxin 2	KmTX2	https://toxins.hais.ioc-unesco.org/toxins/10/
146994	Leptolyngbya	11	β-N-methylamino-L-alanine	β-N-Methylamino-L-alanine	BMAA	https://toxins.hais.ioc-unesco.org/toxins/11/
146994	Leptolyngbya	27	Microcystin	Microcystin-LR	MC-LR	https://toxins.hais.ioc-unesco.org/toxins/27/
146538	Lyngbya	465	Cylindrospermopsin	Cylindrospermopsin	CYN	https://toxins.hais.ioc-unesco.org/toxins/465/
146557	Microcystis	27	Microcystin	Microcystin-LR	MC-LR	https://toxins.hais.ioc-unesco.org/toxins/27/
146558	Microcystis aeruginosa	27	Microcystin	Microcystin-LR	MC-LR	https://toxins.hais.ioc-unesco.org/toxins/27/
149142	Navicula	11	β-N-methylamino-L-alanine	β-N-Methylamino-L-alanine	BMAA	https://toxins.hais.ioc-unesco.org/toxins/11/
393172	Nostoc	27	Microcystin	Microcystin-LR	MC-LR	https://toxins.hais.ioc-unesco.org/toxins/27/
175584	Phaeodactylum tricornutum	11	β-N-methylamino-L-alanine	β-N-Methylamino-L-alanine	BMAA	https://toxins.hais.ioc-unesco.org/toxins/11/
146552	Planktothrix agardhii	27	Microcystin	Microcystin-LR	MC-LR	https://toxins.hais.ioc-unesco.org/toxins/27/
232376	Prorocentrum cordatum	493	Tetrodotoxin	Tetrodotoxin	TTX	https://toxins.hais.ioc-unesco.org/toxins/493/
110301	Prorocentrum lima	461	Okadaic acid	Dinophysistoxin-6	DTX6	https://toxins.hais.ioc-unesco.org/toxins/461/
110301	Prorocentrum lima	1	Okadaic acid	Okadaic acid	OA	https://toxins.hais.ioc-unesco.org/toxins/1/
160564	Prymnesium parvum	543	Prymnesin	Prymnesin 1	PRM-A1	https://toxins.hais.ioc-unesco.org/toxins/543/
160564	Prymnesium parvum	544	Prymnesin	Prymnesin-2	PRYM-2	https://toxins.hais.ioc-unesco.org/toxins/544/
160564	Prymnesium parvum	545	Prymnesin	Prymnesin-B1	PRYM-B1	https://toxins.hais.ioc-unesco.org/toxins/545/
