scientific_name	aphia_id	scientific_name_accepted	aphia_id_accepted
Ceratium hirundinella var. silesiacum	673900	Ceratium hirundinella f. silesiacum	1361680
Ceratium horridum	109956	Tripos horridus	837453
Ceratium kofoidii	109961	Tripos kofoidii	837456
Ceratium lineatum	109963	Tripos lineatus	837459
Ceratium longipes	109964	Tripos longipes	841259
Ceratium longirostrum	109965	Tripos longirostrus	837227
Ceratium macroceros	109967	Tripos macroceros	841260
Ceratium massiliense	109968	Tripos massiliensis	841261
Ceratium minutum	109969	Tripos minutus	841263
Ceratium pentagonum	109972	Tripos pentagonus	841746
Ceratium setaceum	109977	Tripos setaceus	837446
Ceratium symmetricum	109979	Tripos symmetricus	841767
Ceratium teres	109980	Tripos teres	1381154
Ceratium trichoceros	109981	Tripos trichoceros	842517
Ceratium tripos	109982	Tripos muelleri	495363
Cladopyxis claytonii	233351	Micracanthodinium claytonii	109992
Cladopyxis setifera	233352	Micracanthodinium setiferum	109993
Goniodoma polyedricum	233386	Triadinium polyedricum	196828
Amylax buxus	233480	Amylax triacantha var. buxus	846758
Gonyaulax catenata	233365	Peridiniella catenata	110156
Alexandrium angustitabulatum	233452	Alexandrium minutum	109711
Foraminiferida	22528	Foraminifera	1410
Rhabdammina discreta	113900	Psammosiphonella discreta	993559
Rhizomonas setigera	118071	Solenicola setigera	118073
Bacillariophyta	148898	Bacillariophyceae	148899
Coscinodiscophyceae	148900	Coscinodiscophycidae	148971
Detonula confervacea	149286	Lauderia confervacea	163224
Detonula pumila	149647	Lauderia pumila	163226
Skeletonema potamos	163390	Microsiphona potamos	163392
Cyclostephanos dubius	148996	Cyclotella dubia var. dubia	976114
Cyclostephanos invisitatus	577910	Stephanodiscus invisitatus	577909
Stephanodiscus rotula var. minutula	972849	Cyclotella minutula	163428
Stephanodiscus rotula	163435	Discoplea rotula	650056
Stephanodiscus hantzschii f. tenuis	163424	Stephanodiscus tenuis var. tenuis	971749
Stephanodiscus minutulus	163427	Cyclotella minutula	163428
Cyclotella kuetzingiana var. radiosa	163207	Lindavia kuetzingiana var. radiosa	1290262
Cyclotella antiqua	163195	Lindavia antiqua	1289916
Cyclotella bodanica	572029	Lindavia bodanica	1289925
Cyclotella comensis	163199	Pantocsekiella comensis	1304200
Cyclotella costei	621783	Pantocsekiella costei	1304201
Cyclotella ocellata	163211	Pantocsekiella ocellata	1304086
Cyclotella tripartita	578223	Pantocsekiella tripartita	1304232
Cyclotella catenata	179628	Melosira catenata	611682
Discostella stelligera	621506	Cyclotella meneghiniana var. stelligera	697201
Discostella woltereckii	622638	Cyclotella woltereckii	661272
Discostella glomerata	622637	Cyclotella glomerata f. glomerata	984117
Bacterosira bathyomphala	162927	Coscinodiscus bathyomphalus	162930
Planktoniella sol	196815	Coscinodiscus sol	573437
Minidiscus trioculatus	180422	Coscinodiscus trioculatus	573442
Thalassiosira angulata	148913	Orthosira angulata	966467
Thalassiosira anguste-lineata	148914	Coscinodiscus angustelineatus	964359
Thalassiosira baltica var. fluviatilis	163477	Thalassiosira subtilis var. fluviatilis	979078
Thalassiosira constricta	345531	Bacterosira constricta	1307640
Thalassiosira hyperborea var. pelagica	163499	Coscinodiscus lacustris var. pelagica	969455
Thalassiosira lacustris	163494	Coscinodiscus lacustris f. lacustris	983570
Thalassiosira mediterranea	345547	Coscinosira mediterranea	573444
Thalassiosira oestrupii	156691	Shionodiscus oestrupii	573446
Thalassiosira poroseriata	341522	Coscinosira poroseriata	573447
Thalassiosira punctigera	148936	Ethmodiscus punctiger	148941
Thalassiosira weissflogii	163513	Eupodiscus weissflogii	668848
Leptocylindrus mediterraneus	149230	Lauderia mediterranea	163261
Aulacoseira tenella	179360	Melosira tenella	611678
Aulacoseira granulata var. granulata	162864	Aulacoseira granulata	148961
Aulacoseira italica var. tenuissima	179317	Melosira tenuissima	179368
Aulacoseira lacustris	610325	Melosira lyrata f. lacustris	984206
Aulacoseira muzzanensis	609711	Melosira muzzanensis	662409
Aulacoseira perglabra	610327	Melosira perglabra	179373
Aulacoseira pfaffiana	609712	Melosira pfaffiana	657511
Aulacoseira distans s.lat.	149096	Aulacoseira distans	149096
Ellerbeckia arenaria	163240	Melosira arenaria var. arenaria	976131
Aulacodiscus argus	149280	Tripodiscus argus	162834
Stellarima microtrias	163394	Symbolophora microtrias	163397
Stellarima stellaris	149653	Coscinodiscus stellaris var. stellaris	975029
Coscinodiscus granulosus	163183	Coscinodiscus granulosus var. granulosus	974939
Coscinodiscus jonesianus	163178	Eupodiscus jonesianus	163188
Actinoptychus senarius	148948	Actinocyclus senarius	162810
Actinocyclus kuetzingii	641439	Coscinodiscus kuetzingii var. kuetzingii	977626
Actinocyclus octonarius	149164	Actinocyclus octonarius var. octonarius	162770
Actinocyclus octonarius var. tenellus	160650	Eupodiscus tenellus	162803
Actinocyclus octonarius var. crassus	160648	Eupodiscus crassus	162772
Melosira westii	149251	Melosira westii f. westii	984308
Proboscia indica	345513	Rhizosolenia indica	231887
Neocalyptrella robusta	345491	Rhizosolenia robusta var. robusta	978230
Guinardia cylindrus	163241	Rhizosolenia cylindrus	163242
Guinardia delicatula	149112	Rhizosolenia delicatula	149114
Guinardia flaccida	149132	Rhizosolenia flaccida	160530
Guinardia tubiformis	341500	Rhizosolenia tubiformis	573591
Dactyliosolen blavyanus	179786	Guinardia blavyana var. blavyana	975336
Dactyliosolen fragilissimus	149310	Rhizosolenia fragilissima f. fragilissima	985165
Dactyliosolen phuketensis	248064	Rhizosolenia phuketensis	573582
Urosolenia eriensis	157455	Rhizosolenia eriensis f. eriensis	985162
Urosolenia longiseta	163520	Rhizosolenia longiseta var. longiseta	978224
Rhizosolenia hebetata f. semispina	149071	Rhizosolenia semispina	163348
Rhizosolenia pungens	149117	Sundstroemia pungens	1590708
Rhizosolenia setigera	149115	Sundstroemia setigera	1590706
Tabellaria binalis	176261	Fragilaria binalis	176263
Tabellaria flocculosa var. asterionelloides	578550	Tabellaria fenestrata var. asterionelloides	176272
Tabellaria flocculosa var. geniculata	680061	Tabellaria fenestrata var. geniculata	176275
Ardissonea fulgens	163708	Synedra fulgens	163712
Ardissonea crystallina	163704	Synedra crystallina	163706
Asterionella formosa var. ralfsii	179286	Asterionella ralfsii	179285
Asterionellopsis glacialis	149139	Asterionella glacialis	148955
Asterionellopsis kariana	149618	Asterionella kariana	148956
Bleakeleya notata	163736	Asterionella bleakeleyi var. notata	163737
Catacombas gaillonii	163834	Navicula gaillonii	163837
Ceratoneis	163931	Cylindrotheca	149003
Diatoma anceps	626561	Fragilaria anceps	179807
Fossula arctica	578570	Fossulaphycus arcticus	1475705
Fragilaria famelica	615634	Synedra famelica var. famelica	978861
Fragilaria arcus	662809	Eunotia arcus	149403
Fragilaria arcus var. arcus	974733	Navicula arcus	577883
Fragilaria bicapitata	180190	Fragilaria bicapitata f. bicapitata	983427
Fragilaria construens var. exigua	180208	Triceratium exiguum	180209
Fragilaria heidenii	172397	Staurosira inflata	1296717
Fragilaria nitzschioides	172404	Fragilariforma nitzschioides	837746
Fragilaria oldenburgioides	622087	Staurosirella oldenburgioides	1340310
Fragilaria quadrata	665161	Fragilaria undata var. quadrata	695863
Fragilaria vaucheriae	172405	Exilaria vaucheriae	172406
Fragilaria capucina var. vaucheriae	172408	Exilaria vaucheriae	172406
Fragilaria mesolepta s.lat.	172394	Fragilaria mesolepta	172394
Martyana atomus	418628	Fragilaria atomus	180189
Martyana martyi	590712	Opephora martyi f. martyi	984782
Martyana schulzii	418629	Fragilaria schulzii	617200
Neosynedra provincialis	175369	Synedra provincialis var. provincialis	978930
Opephora mutabilis	175467	Sceptroneis mutabilis var. mutabilis	978379
Pseudostaurosira subsalina	624359	Fragilaria construens f. subsalina	175938
Staurosira construens	175929	Fragilaria construens	149364
Staurosira venter	668408	Fragilaria venter var. venter	974756
Staurosirella leptostauron var. dubia	695182	Fragilaria harrisonii f. dubia	983449
Staurosirella leptostauron	175953	Biblarium leptostauron	175956
Staurosirella pinnata var. intercedens	671499	Fragilaria mutabilis var. intercedens	695329
Synedra capitata	176232	Synedra capitata f. capitata	985549
Synedra tenera	661409	Fragilaria tenera	609814
Synedropsis hyperborea	573617	Synedra hyperborea var. hyperborea	978902
Ulnaria biceps	619989	Synedra biceps f. biceps	985546
Ulnaria capitata	620060	Synedra capitata f. capitata	985549
Ulnaria ulna	447744	Synedra ulna var. subcontracta	978990
Ulnaria danica	699599	Synedra danica	176259
Ulnaria delicatissima	467133	Synedra delicatissima f. delicatissima	985550
Ulnaria delicatissima var. angustissima	467134	Synedra delicatissima var. angustissima	176213
Stauroforma exiguiformis	611881	Fragilaria exiguiformis	612704
Frustulia crassinervia	617754	Navicula crassinervia var. crassinervia	975496
Amphiprora alata	149141	Entomoneis alata	157428
Amphiprora kjellmanii	163642	Amphiprora kjellmanii var. kjellmanii	974020
Amphiprora ornata	160665	Entomoneis ornata	163645
Amphiprora paludosa	149514	Entomoneis paludosa	163646
Amphiprora paludosa var. paludosa	163647	Entomoneis paludosa	163646
Amphipleura rutilans	160655	Berkeleya rutilans	156955
Amphipleura kriegeriana	626555	Fragilaria kriegeriana	614177
Parlibellus protracta	618082	Navicula protracta	661904
Brachysira follis	179426	Navicula follis	661935
Brachysira garrensis	611560	Anomoeoneis garrensis	611546
Brachysira microcephala	626504	Navicula microcephala var. microcephala	976719
Brachysira serians	163748	Frustulia serians	669754
Brachysira styriaca	179430	Navicula styriaca	179431
Brachysira vitrea	157068	Gomphonema vitreum	163751
Brachysira zellensis	699624	Navicula zellensis var. zellensis	976657
Cavinula lapidosa	617326	Navicula lapidosa var. lapidosa	975850
Cavinula mollicula	627783	Navicula mollicula	611733
Cavinula lacustris	163850	Navicula lacustris f. lacustris	983951
Cavinula pseudoscutiformis	163852	Navicula pseudoscutiformis	163853
Cavinula scutelloides	627519	Navicula scutelloides f. scutelloides	984372
Cavinula thoroddsenii	617327	Navicula thoroddseni	653739
Cavinula variostriata	163854	Navicula variostriata var. variostriata	976575
Cavinula cocconeiformis	163847	Navicula cocconeiformis f. cocconeiformis	983790
Cavinula cocconeiformis f. elliptica	689133	Navicula cocconeiformis f. elliptica	690685
Cavinula jaernefeltii	609750	Navicula jaernefeltii	180621
Cosmioneis lundstroemii	163891	Navicula lundstroemii var. lundstroemii	975883
Cosmioneis pusilla	163894	Navicula pusilla f. pusilla	984285
Luticola mutica	172645	Navicula mutica f. mutica	984026
Luticola nivalis	172649	Navicula nivalis var. nivalis	976150
Luticola paramutica	610488	Navicula paramutica var. paramutica	970776
Luticola ventricosa	610491	Stauroneis ventricosa var. ventricosa	978506
Luticola dismutica	418268	Navicula dismutica	661532
Diadesmis contenta	593885	Navicula contenta f. contenta	180507
Diadesmis contenta var. biceps	702138	Navicula trinodis f. biceps	985998
Diadesmis perpusilla	699380	Navicula perpusilla var. perpusilla	976258
Diploneis domblittensis	164029	Navicula expleta var. domblittensis	164031
Diploneis finnica	164034	Cocconeis finnica	164035
Diploneis interrupta	149019	Navicula interrupta var. interrupta	975815
Diploneis mauleri	164046	Navicula mauleri var. mauleri	975904
Diploneis oblongella	164048	Navicula oblongella var. oblongella	976156
Diploneis oculata	149197	Navicula oculata f. oculata	984160
Diploneis puella	149407	Navicula puella	164062
Diploneis smithii	149397	Navicula smithii f. smithii	984388
Diploneis vacillans	149399	Navicula vacillans f. vacillans	984918
Meuniera membranacea	149145	Navicula membranacea	149232
Haslea crucigera	172588	Schizonema cruciger f. cruciger	985254
Haslea ostrearia	149211	Vibrio ostrearius	573681
Caloneis crassa	163777	Navicula crassa	163778
Caloneis molaris	163783	Navicula molaris var. molaris	975932
Caloneis subsalina	163807	Navicula subsalina f. subsalina	984402
Caloneis tenuis	626515	Pinnularia tenuis var. tenuis	977751
Navicula directa	149467	Pinnularia directa var. directa	977537
Navicula distans	149143	Pinnularia distans	156568
Navicula duerrenbergiana	172795	Haslea duerrenbergiana	1288236
Navicula kotschyi	172803	Dorofeyukea kotschyi	1330473
Navicula recens	495190	Navicula cari var. recens	180480
Navicula schoenfeldii	172854	Navicula schoenfeldii f. schoenfeldii	981935
Navicula similis	175307	Navicula similis f. similis	984387
Navicula spicula	175916	Stauroneis spicula	669081
Navicula subcostulata	661376	Navicula subcostulata var. subcostulata	970868
Navicula tripunctata	149204	Vibrio tripunctatus	175322
Navicula upsaliensis	495524	Navicula menisculus var. upsaliensis	180664
Naviculadicta vaucheriae	618006	Navicula vaucheriae var. vaucheriae	976623
Achnanthes ventralis	574055	Navicula ventralis	175332
Navicula viridula var. rostellata	175335	Navicula rostellata	149449
Navicula aboensis	626571	Navicula torneensis var. aboensis	671847
Navicula cohnii	661246	Stauroneis cohnii	662044
Navicula confervacea	180502	Diadesmis confervacea	699370
Navicula diluviana	700435	Navicula diluviana var. diluviana	970589
Navicula escambia	623482	Navicula schroeteri var. escambia	695528
Mayamaea fossaloides	613093	Navicula fossaloides	661365
Mayamaea agrestis	617886	Navicula agrestis	180433
Mayamaea atomus	699413	Amphora atomus	700473
Mayamaea atomus var. permitis	702237	Navicula permitis	661539
Mayamaea atomus var. alcimonica	701903	Navicula atomus var. alcimonica	706265
Mayamaea excelsa	613091	Navicula excelsa f. excelsa	983867
Mayamaea fossalis	613092	Navicula fossalis f. fossalis	983882
Mayamaea fossalis var. obsidialis	672122	Navicula obsidialis	180694
Chamaepinnularia krookiformis	626837	Pinnularia krookiformis	613472
Chamaepinnularia mediocris	627522	Navicula mediocris var. mediocris	970731
Chamaepinnularia soehrensis	627521	Navicula soehrensis f. soehrensis	984391
Chamaepinnularia soehrensis var. muscicola	674865	Pinnularia muscicola	661543
Decussata	602777	Decussiphycus	1330467
Decussata placenta	617471	Decussiphycus placenta	1330468
Eolimna minima	665106	Sellaphora nigri	1428162
Eolimna subminuscula	665154	Navicula subminuscula	609909
Fistulifera saprophila	612694	Navicula saprophila	661251
Geissleria declivis	614180	Navicula declivis	661362
Geissleria decussis	614181	Navicula decussis	661363
Geissleria paludosa	614182	Navicula paludosa	661541
Geissleria schoenfeldii	614183	Navicula schoenfeldii f. schoenfeldii	981935
Geissleria similis	614184	Navicula similis f. similis	984387
Hippodonta hungarica	447740	Navicula hungarica f. hungarica	983926
Hippodonta costulata	614201	Navicula costulata f. costlulata	983797
Hippodonta subcostulata	614203	Navicula subcostulata var. subcostulata	970868
Microcostatus maceria	617899	Navicula maceria	610517
Naviculadicta digitulus	617993	Navicula digitulus	180533
Naviculadicta ventraloconfusa	618007	Navicula ventraloconfusa	613273
Naviculadicta vitabunda	668398	Navicula vitabunda	175338
Chamaepinnularia witkowskii	624243	Naviculadicta witkowskii	661981
Navigiolum canoris	618010	Navicula canoris	632083
Neidium binodis	175347	Neidiomorpha binodis	670373
Neidium binodeforme	610563	Neidiomorpha binodeformis	656277
Pinnularia appendiculata	175586	Frustulia appendiculata	175588
Pinnularia borealis var. borealis	971520	Pinnularia subborealis var. subborealis	971520
Pinnularia brebissonii	592879	Pinnularia acutobrebissonii	837975
Pinnularia elegans	175610	Navicula elegans f. elegans	983851
Pinnularia subsolaris	175655	Pinnularia decrescens	623594
Pinnularia undula	623623	Navicula undula	668237
Pinnularia tirolensis	623606	Pinnularia subgibba var. tirolensis	696219
Pinnularia polyonca var. similis	674360	Pinnularia mayeri var. similis	695486
Pinnularia irrorata	669356	Pinnularia appendiculata var. irrorata	697567
Pinnularia graciloides var. triundulata	674436	Pinnularia stomatophora f. triundulata	698710
Pinnularia eifelana	622345	Pinnularia esoxiformis var. eifeliana	972718
Pinnularia divergens var. decrescens	696793	Navicula legumen f. decrescens	983964
Pinnularia clevei var. minor	674466	Pinnularia esox f. minor	698611
Pinnularia nodosa s.lat.	175643	Pinnularia nodosa	175643
Gyrosigma kuetzingii	661891	Pleurosigma kuetzingii f. kuetzingii	985099
Gyrosigma distortum	609952	Pleurosigma distortum var. distortum	979664
Gyrosigma eximium	172522	Schizonema eximium	172525
Gyrosigma fasciola	149494	Ceratoneis fasciola	172535
Gyrosigma hippocampus	172561	Navicula hippocampus var. hippocampus	975793
Gyrosigma macrum	180325	Pleurosigma macrum	662011
Gyrosigma nodiferum	609954	Pleurosigma nodiferum	662013
Gyrosigma parkeri	626675	Pleurosigma parkeri var. parkeri	977932
Gyrosigma strigilis	180338	Pleurosigma strigilis f. strigilis	985896
Gyrosigma tenuissimum	157069	Pleurosigma tenuissimum var. tenuissimum	978019
Proschkinia bulnheimii	175721	Navicula bulnheimii var. bulnheimii	180475
Sellaphora hustedtii	622484	Navicula hustedtii f. hustedtii	983929
Sellaphora bacillum	175869	Navicula bacillum f. bacillum	983638
Sellaphora laevissima	175870	Navicula laevissima f. laevissima	983956
Sellaphora rectangularis	699446	Stauroneis rectangularis	700495
Sellaphora stroemii	622490	Navicula stroemii	661253
Sellaphora nana	699462	Stauroneis nana	700430
Sellaphora joubaudii	641007	Navicula joubaudii	180622
Sellaphora disjuncta	610745	Navicula disjuncta f. disjuncta	981788
Sellaphora americana	609965	Navicula americana f. americana	983603
Sellaphora alastos	618250	Navicula americana var. alastos	676385
Fallacia cryptolyra	172376	Navicula cryptolyra	172377
Fallacia insociabilis	609964	Navicula insociabilis var. insociabilis	970671
Fallacia lenzii	622074	Navicula lenzii	611773
Fallacia monoculata	610459	Navicula monoculata	661521
Fallacia subhamulata	669021	Navicula subhamulata var. subhamulata	979820
Fallacia tenera	418418	Navicula tenera	669023
Stauroneis prominula	175896	Pleurostauron prominulum	175898
Stauroneis tackei	610765	Navicula tackei	668168
Stauroneis siberica	627543	Stauroneis anceps var. siberica	671495
Craticula ambigua	163903	Navicula ambigua f. ambigua	983613
Craticula buderi	617363	Navicula buderi	180474
Craticula cuspidata	163907	Frustulia cuspidata	163908
Craticula dissociata	612392	Navicula dissociata	662450
Craticula halophila	163909	Navicula cuspidata var. halophila	163911
Craticula minusculoides	617371	Navicula minusculoides	180675
Craticula molestiformis	665148	Navicula molestiformis	661372
Craticula riparia	610394	Navicula riparia	661250
Craticula accomoda	418460	Navicula accommoda	628362
Pseudo-nitzschia seriata f. seriata	175749	Pseudo-nitzschia seriata	149152
Fragilariopsis nana	556587	Fragilaria nana	664527
Fragilariopsis oceanica	172436	Fragilaria oceanica f. oceanica	983464
Tryblionella circumsuta	176404	Surirella circumsuta	176405
Tryblionella hungarica	447745	Nitzschia hungarica f. hungarica	984543
Tryblionella littoralis	176527	Nitzschia littoralis var. littoralis	977047
Tryblionella marginulata	176532	Nitzschia marginulata f. marginulata	984601
Tryblionella navicularis	176534	Surirella navicularis	176537
Tryblionella plana	176538	Nitzschia plana f. plana	984632
Tryblionella salinarum	176542	Nitzschia tryblionella var. salinarum	176543
Tryblionella aerophila	577843	Nitzschia aerophila	577793
Nitzschia acula	175377	Synedra acula	662068
Nitzschia brevissima	418190	Nitzschia obtusa var. brevissima	977063
Nitzschia compressa	176541	Pyxidicula compressa var. compressa	978142
Nitzschia compressa var. compressa	976728	Pyxidicula compressa var. compressa	978142
Nitzschia epithemoides var. disputata	675174	Nitzschia disputata	611394
Nitzschia filiformis var. conferta	675175	Homoeocladia conferta	611664
Nitzschia frustulum var. bulnheimiana	675176	Homoeocladia bulnheimiana	962599
Nitzschia intermedia f. actinastroides	699055	Synedra actinastroides var. actinastroides	978783
Nitzschia levidensis	176423	Tryblionella levidensis	176420
Nitzschia linearis var. tenuis	671467	Nitzschia tenuis f. tenuis	984651
Nitzschia palea var. debilis	175433	Synedra debilis	175434
Nitzschia scalaris	156544	Synedra scalaris	175445
Nitzschia sinuata	661219	Grunowia sinuata	622706
Nitzschia sinuata var. sinuata	675314	Denticula sinuata	661838
Nitzschia sinuata var. delognei	695170	Nitzschia denticula var. delognei	695221
Nitzschia sinuata var. tabellaria	695114	Denticula tabellaria	661839
Nitzschia subtilis	156546	Nitzschia linearis var. subtilis	467118
Nitzschia umbonata	175455	Navicula umbonata	175456
Nitzschia vermicularis	175458	Frustulia vermicularis	175459
Hantzschia spectabilis	180357	Synedra spectabilis	172573
Hantzschia vivax	626570	Nitzschia vivax f. vivax	984725
Bacillaria paxillifera	558243	Vibrio paxillifer	163728
Denticula elegans	179792	Diploneis baicalensis	617184
Simonsenia delognei	609739	Nitzschia delognei	611414
Eunotia bilunaris	172305	Synedra bilunaris var. bilunaris	978837
Eunotia bilunaris var. linearis	694738	Eunotia flexuosa var. linearis	680053
Eunotia exigua	180063	Himantidium exiguum	172319
Eunotia exigua var. tenella	671739	Eunotia arcus var. tenella	172370
Eunotia exsecta	617687	Eunotia veneris var. exsecta	697974
Eunotia faba	172322	Himantidium faba	180178
Eunotia flexuosa	180071	Synedra flexuosa var. flexuosa	980357
Eunotia groenlandica	622039	Eunotia paludosa var. groenlandica	672068
Eunotia hemicyclus	609794	Synedra hemicyclus	662070
Eunotia inflata	614171	Eunotia praerupta f. inflata	698695
Eunotia muscicola var. perminuta	697905	Eunotia tridentula var. perminuta	180170
Eunotia paludosa var. trinacria	695126	Eunotia trinacria	180172
Eunotia parallela var. parallela	969921	Eunotia pseudoparallela	648444
Eunotia pectinalis var. ventralis	172338	Eunotia pectinalis var. ventricosa	180126
Eunotia robusta	172357	Eunotia robusta f. robusta	985879
Eunotia satelles	627786	Eunotia rhynchocephala var. satelles	695163
Eunotia serra var. diadema	180151	Eunotia diadema	180152
Eunotia veneris	172344	Himantidium veneris	180129
Amphicampa hemicyclus	661777	Synedra hemicyclus	662070
Achnanthes bottnica	163523	Achnanthes clevei var. bottnica	163526
Achnanthes microcephala	149379	Achnanthidium microcephalum	163586
Achnanthes thermalis	163626	Crenotia thermalis	1429771
Achnanthes kolbei	179063	Achnanthes kolbei var. kolbei	969007
Achnanthes ploenensis var. gessneri	574059	Achnanthes gessneri	700503
Achnanthes delicatula s.lat.	149384	Achnanthidium delicatulum f. delicatulum	983201
Achnanthes delicatula	149384	Achnanthidium delicatulum f. delicatulum	983201
Rossithidium pusillum	574051	Achnanthes pusilla	163602
Rossithidium petersenii	367196	Achnanthes petersenii var. petersenii	969048
Rossithidium nodosum	574046	Achnanthes nodosa	179110
Platessa conspicua	668407	Achnanthes conspicua var. conspicua	179014
Platessa holsatica	625452	Achnanthes holsatica	611529
Cocconeis scutellum var. parva	163883	Cocconeis scutellum f. parva	163884
Cocconeis stauroneiformis	163885	Cocconeis scutellum f. stauroneiformis	983494
Achnanthidium subsalsum	574056	Achnanthes subsalsa	163618
Achnanthidium catenatum	699707	Achnanthes catenata	611525
Achnanthidium bioretii	699656	Psammothidium bioretii	700441
Achnanthidium biasolettianum	418179	Achnanthes pyrenaica var. pyrenaica	969040
Achnanthidium exiguum	662108	Achnanthes exigua var. exigua	974062
Achnanthidium daonense	708730	Achnanthes daonensis	611405
Achnanthidium minutissimum	163594	Achnanthes minutissima var. minutissima	973710
Achnanthidium gracillimum	708289	Microneis gracillima	700530
Achnanthidium helveticum	708290	Psammothidium helveticum	626600
Achnanthidium kranzii	610369	Achnanthes kranzii	661496
Achnanthidium kriegeri	708715	Rossithidium kriegeri	1379953
Achnanthidium lauenburgianum	708731	Achnanthes lauenburgiana	179086
Achnanthidium straubianum	617264	Achnanthes straubiana	661773
Achnanthidium subatomoides	707997	Navicula subatomoides	661254
Planothidium lemmermannii	624657	Achnanthes lemmermannii var. lemmermannii	160637
Planothidium pseudotanense	627794	Achnanthes pseudotanensis	179124
Planothidium stewartii	624656	Achnanthes stewartii	665049
Planothidium pericavum	627793	Achnanthes pericava	611527
Planothidium joursacense	627789	Achnanthes joursacense	610367
Planothidium granum	618222	Achnanthes grana	611522
Planothidium engelbrechtii	610721	Achnanthes engelbrechtii var. engelbrechtii	968974
Planothidium daui	618217	Achnanthes daui	661344
Planothidium cyclophorum	622427	Achnanthes cyclophora	634508
Achnanthes laevis var. austriaca	675341	Achnanthes austriaca var. austriaca	178999
Eucocconeis flexella	574031	Cymbella flexella	163553
Karayevia suchlandtii	656297	Achnanthes suchlandtii var. suchlandtii	969061
Karayevia oblongella	574047	Achnanthes oblongella	163595
Karayevia laterostrata	610483	Achnanthes laterostrata	179085
Karayevia nitidiformis	625426	Achnanthes nitidiformis	611968
Karayevia bottnica	597250	Achnanthes clevei var. bottnica	163526
Lemnicola hungarica	447727	Achnanthidium hungaricum	179058
Psammothidium levanderi	610732	Achnanthes levanderi var. levanderi	969015
Psammothidium scoticum	626607	Achnanthes scotica	611412
Psammothidium rossii	626605	Achnanthes rossii	179138
Psammothidium rechtensis	618242	Achnanthes rechtensis	610368
Psammothidium perpusillum	627796	Pinnularia perpusilla	665265
Psammothidium marginulatum	670164	Achnanthes marginulata var. marginulata	973665
Psammothidium kuelbsii	610730	Achnanthes kuelbsii	611408
Psammothidium kryophilum	622452	Achnanthes kryophila var. kryophila	179066
Psammothidium didymum	670163	Achnanthes didyma	609696
Psammothidium curtissimum	574027	Psammothidium microscopicum	1304818
Psammothidium chlidanos	618239	Achnanthes chlidanos	661772
Staurophora amphioxys	175922	Stauroneis amphioxys var. amphioxys	978465
Staurophora elata	175924	Stauroneis elata	661403
Cymbopleura naviculiformis	623652	Cymbella naviculiformis	163980
Cymbopleura subaequalis	623805	Cymbella subaequalis	179777
Cymbopleura amphicephala	621828	Cymbella amphicephala	163956
Cymbopleura hybrida	623913	Cymbella hybrida	179742
Cymbopleura incerta	623928	Cymbella incerta	661353
Cymbopleura angustata	574002	Navicula angustata var. angustata	975084
Cymbopleura hercynica	621850	Cymbella hercynica	661818
Cymbopleura lata	623876	Cymbella lata	179747
Cymbopleura linearis	621868	Cymbella naviculiformis var. linearis	696970
Placoneis elginensis	175671	Pinnularia elginensis	175673
Placoneis exigua	175680	Pinnularia exigua	175683
Placoneis symmetrica	622417	Navicula constans var. symmetrica	671445
Placoneis explanata	618204	Navicula explanata	180552
Brebissonia lanceolata	163765	Gomphonema lanceolatum	163766
Encyonema gaeumannii	610426	Cymbella gaeumannii	179735
Encyonema lacustre	164099	Schizonema lacustre	164101
Encyonema latens	610431	Cymbella latens	661508
Encyonema lunatum	232084	Cymbella lunata	661814
Encyonema minutum	172265	Cymbella minuta	172266
Encyonema norvegica	172267	Cymbella norvegica	172268
Encyonema obscurum	610432	Cymbella obscura	661509
Encyonema perpusillum	172269	Cymbella perpusilla	172270
Encyonema prostratum	149542	Monema prostratum	172272
Encyonema reichardtii	610434	Cymbella reichardtii	661511
Encyonema silesiacum	172273	Cymbella silesiaca	172274
Cymbella lancettula	621814	Cymbella tumidula var. lancettula	696214
Cymbella leptoceros	626505	Cocconema leptoceros	163978
Cymbella neogena	621815	Cymbella gastroides var. neogena	696840
Cymbella parva	163955	Cocconema parvum	163954
Cymbella prostrata	670359	Monema prostratum	172272
Delicata delicatula	623357	Delicatophycus delicatulus	1334252
Delicata delicatula var. alpestris	674569	Delicatophycus alpestris	1334254
Reimeria sinuata f. ovata	698177	Cymbella sinuata var. ovata	697094
Gomphonema exilissimum	617796	Gomphonema parvulum var. exilissima	683818
Gomphonema montanum	180287	Gomphonema acuminatum var. montanum	676154
Gomphonema olivaceoides	180260	Gomphonema olivaceoides var. olivaceoides	970196
Gomphonema parvulius	617809	Gomphonema parvulum var. parvulius	671313
Gomphonema sarcophagus	614196	Gomphonema sarcophagus f. sarcophagus	983711
Gomphonema gracile s.lat.	149560	Gomphonema gracile	149560
Gomphonema pumilum s.lat.	609827	Gomphonema intricatum var. pumila	697400
Gomphonemopsis pseudexigua	172506	Gomphonema pseudoexiguum	622154
Petroneis granulata	175568	Navicula granulata	175572
Petroneis humerosa	175573	Navicula humerosa f. humerosa	983924
Petroneis latissima	175574	Navicula latissima f. latissima	983961
Petroneis marina	175578	Navicula marina var. marina	975909
Lyrella abrupta	590716	Navicula lyra var. abrupta	695370
Aneumastus stroesei	610377	Navicula tuscula var. stroesei	695209
Mastogloia smithii var. lacustris	180412	Mastogloia lacustris	613080
