scientific_name	aphia_id	scientific_name_accepted	aphia_id_accepted
Dolichospermum flos-aquae	623803	Dolichospermum flosaquae	623803
Scytonema crispum	609478	Heteroscytonema crispum	1370483
Brachytrichia balani	146631	Brachytrichia quoyi	178434
Planktolyngbya circumcreta	618993	Limnolyngbya circumcreta	1372707
Pseudanabaena minuta	665457	Komvophoron minutum	618928
Spirulina laxissima	177599	Glaucospira laxissima	841072
Geitlerinema acutissimum	612743	Anagnostidinema acutissimum	1315979
Geitlerinema exile	612749	Anagnostidinema exile	1316001
Geitlerinema sandbergii	619522	Microcoleus vaginatus	178464
Komvophoron constrictum	146659	Johanseninema constrictum	841718
Oscillatoria chlorina	146592	Kamptonema chlorinum	840966
Oscillatoria pseudominima	657700	Limnothrix pseudominima	627139
Oscillatoria subsalsa	177519	Spirulina subsalsa	660753
Phormidium amphibium	146691	Anagnostidinema amphibium	1313613
Phormidium animale	576998	Kamptonema animale	840972
Phormidium autumnale	661054	Microcoleus autumnalis	840016
Phormidium chlorinum	146696	Kamptonema chlorinum	840966
Phormidium dictyothallum	177536	Pseudanabaena dictyothalla	619481
Phormidium formosum	146697	Kamptonema formosum	837205
Phormidium laetevirens	417043	Kamptonema laetevirens	840974
Phormidium nigro-viride	146699	Phormidium nigroviride	146699
Phormidium neotenue	177545	Oscillatoria tenuis	146594
Phormidium okenii	177546	Kamptonema okenii	837164
Phormidium setchellianum	658584	Microcoleus setchellianus	837151
Phormidium simplicissimum	577243	Oscillatoria simplicissima	239344
Phormidium splendidum	177548	Geitlerinema splendidum	577244
Phormidium amoenum	660920	Microcoleus amoenus	840001
Planktothrix cryptovaginata	177581	Limnoraphis cryptovaginata	839905
Porphyrosiphon luteus	146681	Lyngbya lutea	146682
Homoeothrix batrachospermorum	625422	Tapinothrix batrachospermorum	625810
Homoeothrix janthina	628017	Tapinothrix janthina	625817
Homoeothrix stagnalis	625423	Tapinothrix stagnalis	625823
Homoeothrix subtilis	625424	Tapinothrix subtilis	625824
Homoeothrix varians	610151	Tapinothrix varians	625825
Monoraphidium arcuatum	558764	Ankistrodesmus arcuatus	575733
Aphanothece caldariorum	614765	Gloeobacter violaceus	614732
Aphanothece atro-crustacea	614759	Aphanothece atrocrustacea	614759
Aphanothece bachmannii	162682	Anathece bachmannii	624957
Aphanothece clathrata	162686	Anathece clathrata	699619
Aphanothece minutissima	162689	Anathece minutissima	624955
Aphanothece smithii	162692	Anathece smithii	624960
Chara intermedia	611357	Chara intermedia var. papillosa	674673
Chara polyacantha	585401	Chara aculeolata	614681
Chara rudis	611359	Chara subspinosa	1359190
Chara vulgaris var. vulgaris	695020	Chara vulgaris	547443
Chara vulgaris var. crassicaulis	703575	Chara vulgaris	547443
Chara aspera var. crassior	552986	Chara curta	495195
Chara globularis/virgata	394626	Chara	394626
Nitella flexilis/opaca	494066	Nitella	494066
Zygnematophyceae	162685	Conjugatophyceae	886290
Spirogyra grevilleana	609380	Spirogyra weberi var. grevilleana	846171
Spirogyra liana	614526	Temnogyra liana	837808
Spirogyra punctata	609399	Temnogyra punctata	836842
Zygnema melanosporum	609418	Zygnema chalybeospermum	620082
Arthrodesmus	577651	Staurodesmus	577680
Cosmarium pygmaeum var. apertum	672014	Cosmarium lutetianum	612381
Cosmarium regnesii var. montanum	695058	Cosmarium regnesii var. polonicum	674102
Cosmarium subtumidum var. klebsii	695253	Cosmarium nitidulum	608854
Cosmocladium pusillum	661440	Heimansia pusilla	612905
Euastrum affine	700412	Euastrum humerosum var. affine	671676
Euastrum denticulatum	608987	Euastrum amoenum	664383
Hyalotheca indica var. fennica	681249	Groenbladia fennica	837963
Micrasterias radiata	661676	Micrasterias furcata	609048
Sphaerozosma filiforme	614342	Onychonema filiforme	661117
Staurastrum anatinum f. denticulatum	690404	Staurastrum anatinum var. denticulatum	675736
Staurastrum brebissonii	611267	Staurastrum pilosum	669377
Staurastrum gladiosum	609165	Staurastrum teliferum var. gladiosum	846130
Staurastrum lunatum	410026	Staurastrum avicula var. lunatum	846509
Staurastrum mucronatum	661690	Staurodesmus mucronatus	1306572
Staurastrum petsamoënse	624032	Staurastrum petsamoense	624032
Staurastrum planctonicum	572083	Staurastrum pingue var. planctonicum	1373157
Staurastrum smithii var. verrucosum	685626	Staurastrum nygaardii	839239
Phycastrum granulosum	638664	Staurastrum granulosum	611288
Staurodesmus incus var. ralfsii	578410	Staurodesmus ralfsii	627415
Staurodesmus indentatus	609274	Staurodesmus incus var. indentatus	674113
Staurodesmus lanceolatus	611336	Staurastrum lanceolatum	661130
Staurodesmus lanceolatus var. rotund.	611336	Staurastrum lanceolatum	661130
Staurodesmus clepsydra	661135	Staurastrum clepsydra	617162
Xanthidium octocorne	661450	Staurodesmus octocornis	839096
Closterium limneticum var. tenue	671538	Closterium gracile	577818
Closterium sigmoideum	668520	Closterium acerosum	578389
Closterium subpronum	668148	Closterium aciculare	572006
Elakatothrix viridis	572037	Fusola viridis	661077
Cladophora pachyderma	371104	Rhizoclonium pachydermum	145074
Cladophora pygmaea	145061	Lychaete pygmaea	1311361
Monostroma arcticum	145937	Monostroma grevillei var. arctica	687781
Gloeotila pelagica	577861	Stichococcus pelagicus	577863
Gloeotila spiralis	664269	Planktolyngbya contorta	177572
Gloeotila turfosa	708006	Geminella turfosa	1311314
Planctonema lauterbornii	162716	Binuclearia lauterbornii	575737
Radiofilum irregulare	661089	Parallela transversalis	623902
Ulva procera	234461	Ulva prolifera	234476
Ulva scandinavica	145992	Ulva rigida	145990
Ulva simplex	234480	Ulva prolifera	234476
Ulva pertusa	211460	Ulva australis	660661
Ulva compressa/intestinalis	144296	Ulva	144296
Ulva clathrata/flexuosa	144296	Ulva	144296
Ulva procera/prolifera	144296	Ulva	144296
Pringsheimiella	143936	Ulvella	143942
Pringsheimiella scutata	144876	Ulvella scutata	732330
Epicladia testarum	146011	Ulvella testarum	838154
Acrochaete	144297	Ulvella	143942
Acrochaete flustrae	377105	Epicladia flustrae	146005
Acrochaete cladophorae	145994	Ulvella cladophorae	1312611
Acrochaete leptochaete	145998	Ulvella leptochaete	732246
Acrochaete repens	146001	Ulvella repens	732257
Acrochaete viridis	146002	Ulvella viridis	732259
Acrochaete wittrockii	146003	Ulvella wittrockii	732245
Pyramimonas grossii	495352	Pyramimonas subg. Trichocystis grossii	134550
Pyramimonas mantoniae	495477	Pyramimonas subg. Vestigifera mantoniae	134552
Pyramimonas marina	625464	Carteria marina	248106
Pyramimonas norrisii	134554	Pyramimonas moestrupii	495381
Pyramimonas plurioculata	376701	Pyramimonas orientalis	547692
Pyramimonas propulsa	495347	Pyramimonas subg. Pyramimonas propulsa	134558
Pachysphaera marshalliae	502141	Tasmanites marshalliae	375926
Tetraselmis rubens	376359	Tetraselmis verrucosa f. rubens	847000
Rosenvingiella constricta	145801	Rosenvingiellopsis constricta	1312599
Koliella longiseta f. longiseta	1415759	Koliella longiseta	248126
Dictyosphaerium elegans	578224	Mychonastes elegans	578226
Dictyosphaerium elongatum	657044	Chlorella elongata	839134
Dictyosphaerium pulchellum	178933	Mucidosphaerium pulchellum	624695
Dictyosphaerium tetrachotomum	578471	Hindakia tetrachotoma	578473
Dictyosphaerium tetrachotomum var. minutum	686452	Chlorella chlorelloides	839898
Dictyosphaerium anomalum	667134	Mychonastes anomalus	624369
Dictyosphaerium botrytella	667224	Mychonastes botrytella	624370
Dictyosphaerium sphagnale	668110	Mucidosphaerium sphagnale	624694
Chlorella marina	616297	Chloroidium saccharophilum	623865
Chlorella ovalis	616298	Chloroidium saccharophilum	623865
Chlorella spaerckii	616299	Droopiella spaerckii	1534935
Chlorella ellipsoidea	661075	Chloroidium ellipsoideum	623866
Chlorella protothecoides	662224	Auxenochlorella protothecoides	612111
Chlorella saccharophila	661412	Chloroidium saccharophilum	623865
Choricystis chodatii	619248	Pseudococcomyxa chodatii	1379956
Choricystis minor	615527	Choricystis parasitica	837008
Oocystis solitaria	178934	Neglectella solitaria	1380951
