provider	synonym_name	AphiaID
worms	Goniodoma pseudogoniaulax	109713
worms	Goniodoma pseudogonyaulax	109713
worms	Triadinium pseudogonyaulax	109713
worms	Gessnerium tamarensis	109714
worms	Gonyaulax tamarensis	109714
worms	Protogonyaulax tamarensis	109714
worms	Dictyota pentasterias	109717
worms	Gymnaster pentasterias	109717
worms	Amphidinium acutum	109718
worms	Amphidinium klebsii	109723
worms	Amphidinium microcephalum	109723
worms	Amphidinium phaeocysticola	109726
worms	Amphidinium elegans	109745
worms	Prorocentrum ovoideum	109746
worms	Cochlodinium helix	109766
worms	Cochlodinium helix	109766
worms	Gymnodinium helix	109767
worms	Gymnodinium helix	109767
worms	Cystodinium gessneri	109794
worms	Gymnodinium gessneri	109794
worms	Peridinium fuscum	109794
worms	Rhizodinium gessneri	109794
worms	Glenodinium minimum	109807
worms	Gymnodinium macronucleum	109807
worms	Gymnodinium irregulare	109834
worms	Gyrodinium traunsteineri	109834
worms	Melodinium uberrimum	109834
worms	Peridinium uberrima	109834
worms	Spirodinium spirale var. acutum	109843
worms	Gymnodinium crassum	109849
worms	Spirodinium crassum	109849
worms	Spirodinium fusus	109856
worms	Gyrodinium lacryma	109859
worms	Spirodinium lachryma	109859
worms	Cochlodinium longum	109861
worms	Gymnodinium spirale var. pepo	109871
worms	Spirodinium spirale var. pepo	109871
worms	Gymnodinium spirale var. pinguis	109872
worms	Spirodinium spirale var. pingue	109872
worms	Gymnodinium spirale	109876
worms	Spirodinium spirale	109876
worms	Gymnodinium asymmetricum	109882
worms	Massartia asymmetrica	109882
worms	Massartia asymmetrica	109882
worms	Gymnodinium teredo	109890
worms	Hemidinium brasiliense	109891
worms	Hemidinium nasutum var. tatricum	109891
worms	Hemidinium nobile	109891
worms	Hemidinium olivaceum	109891
worms	Hemidinium tumidum	109891
worms	Heminidium brasiliense	109891
worms	Polykrikos beauchampii	109896
worms	Polykrikos beauchampii	109896
worms	Polykrikos schwarzii	109899
worms	Polykrikos auricularia	109901
worms	Oxyrrhis maritima	109902
worms	Oxyrrhis tentaculifera	109902
worms	Pelagorhynchus marina	109903
worms	Pelagorhynchus marinus	109903
worms	Protodinifer marinum	109903
worms	Rhynchomonas marina	109903
worms	Pouchetia armata	109907
worms	Kofoidinium velelloides	109920
worms	Mammaria scintillans	109921
worms	Medusa marina	109921
worms	Medusa scintillans	109921
worms	Noctiluca marina	109921
worms	Noctiluca miliaris	109921
worms	Noctiluca omogenea	109921
worms	Noctiluca pacifica	109921
worms	Noctiluca punctata	109921
worms	Gymnodinium conicum	109923
worms	Gymnodinium lebourae	109923
worms	Gymnodinium lebouriae	109923
worms	Gymnodinium pseudonoctiluca	109923
worms	Gymnodinium pyrocystis	109923
worms	Gymnodinium viride	109923
worms	Gymnodinium viridis	109923
worms	Cladopyxis claytonii	109992
worms	Cladopyxis setifera	109993
worms	Crypthecodinium setense	109998
worms	Glenodinium cohnii	109998
worms	Gymnodinium fucorum	109998
worms	Gyrodinium cohnii	109998
worms	Gyrodinium fucorum	109998
worms	Dissodium lenticulum	110001
worms	Glenodinium lenticula	110001
worms	Glenodinium lenticula f. globularis	110001
worms	Peridiniopsis lenticula	110001
worms	Gonyaulax hyperborea	110007
worms	Gonyaulax triacantha	110007
worms	Gonyaulax triacantha var. subinermis	110007
worms	Gonyaulax austriaca	110010
worms	Gonyaulax digitale	110015
worms	Gonyaulax schuettii	110035
worms	Spiniferites bulloideus	110039
worms	Achomosphaera hyperacantha	110041
worms	Gonyaulax levanderi	110041
worms	Gonyaulax spinifera var. levanderi	110041
worms	Nematosphaeropsis balcombiana	110041
worms	Peridinium levanderi	110041
worms	Peridinium spiniferum	110041
worms	Spiniferites ramosus	110041
worms	Tectatodinium pellitum	110041
worms	Amylax diacantha	110045
worms	Gonyaulax diacantha	110045
worms	Gonyaulax longispina	110045
worms	Pyrgidium tesselatum	110077
worms	Oxytoxum nanum	110082
worms	Oxytoxum tenuistriatum	110114
worms	Pyrgidium sceptrum	110114
worms	Glenodinium monotis	110130
worms	Ostreopsis monotis	110130
worms	Lebouraia pusilla	110134
worms	Diplopsalis orbicularis	110139
worms	Peridinium orbiculare	110139
worms	Amphidinium pellucidum	110152
worms	Amphidinium redekei	110152
worms	Amphidinium rotundatum	110152
worms	Gymnodinium minutum	110152
worms	Katodinium minutum	110152
worms	Katodinium rotundatum	110152
worms	Massartia rotundata	110152
worms	Massartia rotundatum var. conradi	110152
worms	Glenodinium foliaceum	110154
worms	Peridinium foliaceum	110154
worms	Diplopsalis rotunda	110155
worms	Diplopsalis rotundata	110155
worms	Glenodinium rotundum	110155
worms	Peridiniopsis rotunda	110155
worms	Amylax catenata	110156
worms	Gonyaulax catenata	110156
