taxon_id	scientific_name	scientific_name_authority	usage_key	url	n_nordic_occurrences	synonym_usage_key	synonym_names	synonyms_n_nordic_occurrences	point_style
104016	Caecitellus parvulus	Caecitellus parvulus (Griessmann) D.J.Patterson, K.Nygaard, G.Steinberg & Turley, 1993	3202397	www.gbif.org/species/3202397	28	3202398	Bodo parvulus	0	scaled.circles
105501	Acanthocorbis	Acanthocorbis S.Hara & E.Takahashi, 1984	4378233	www.gbif.org/species/4378233	12			0	scaled.circles
105502	Acanthoeca	Acanthoeca W.N.Ellis, 1930	7609450	www.gbif.org/species/7609450	28			0	scaled.circles
105505	Bicosta	Bicosta Leadbeater, 1978	3236037	www.gbif.org/species/3236037	403			0	scaled.circles
105506	Calliacantha	Calliacantha B.S.C.Leadbeater, 1978	7725169	www.gbif.org/species/7725169	2478			0	scaled.circles
105510	Cosmoeca	Cosmoeca Thomsen, 1984	7690500	www.gbif.org/species/7690500	4			0	scaled.circles
105511	Crinolina	Crinolina H.A.Thomsen, 1976	7871483	www.gbif.org/species/7871483	227			0	scaled.circles
105512	Crucispina	Crucispina Espeland & Throndsen, 1986	7439161	www.gbif.org/species/7439161	1			0	scaled.circles
105513	Diaphanoeca	Diaphanoeca W.Ellis, 1930	8365726	www.gbif.org/species/8365726	693			0	scaled.circles
105516	Monocosta	Monocosta Thomsen, 1979	4378280	www.gbif.org/species/4378280	1			0	scaled.circles
105517	Nannoeca	Nannoeca Thomsen, 1988	4378227	www.gbif.org/species/4378227	1			0	scaled.circles
105518	Parvicorbicula	Parvicorbicula Deflandre, 1960	7443939	www.gbif.org/species/7443939	115			0	scaled.circles
105519	Platypleura	Platypleura Thomsen	3236041	www.gbif.org/species/3236041	1			0	scaled.circles
105520	Pleurasiga	Pleurasiga J.Schiller, 1925	8329230	www.gbif.org/species/8329230	372			0	scaled.circles
105521	Polyfibula	Polyfibula Manton & Bremer, 1981	7367695	www.gbif.org/species/7367695	1			0	scaled.circles
105522	Polyoeca	Polyoeca Kent, 1880	8848472	www.gbif.org/species/8848472	1			0	scaled.circles
105524	Saepicula	Saepicula Leadbeater, 1980	4378213	www.gbif.org/species/4378213	1			0	scaled.circles
105525	Saroeca	Saroeca H.A.Thomsen, 1979	4378197	www.gbif.org/species/4378197	1			0	scaled.circles
105526	Savillea	Savillea (W.N. Ellis) Loeblich III, 1967	7965868	www.gbif.org/species/7965868	52			0	scaled.circles
105529	Stephanoeca	Stephanoeca W.Ellis, 1930	7617558	www.gbif.org/species/7617558	86			0	scaled.circles
105531	Codosiga	Codosiga H.J.Clark, 1868	3194319	www.gbif.org/species/3194319	62			0	scaled.circles
105532	Desmarella	Desmarella W.S.Kent, 1878	4269989	www.gbif.org/species/4269989	122			0	scaled.circles
105535	Monosiga	Monosiga Kent, 1878	7469057	www.gbif.org/species/7469057	636			0	scaled.circles
105536	Proterospongia	Proterospongia Kent, 1882	7441425	www.gbif.org/species/7441425	4			0	scaled.circles
105540	Pachysoeca	Pachysoeca W.N.Ellis, 1930	8001079	www.gbif.org/species/8001079	0			0	scaled.circles
105541	Salpingoeca	Salpingoeca H.J.Clark, 1866	7812432	www.gbif.org/species/7812432	1073			0	scaled.circles
105542	Acanthocorbis apoda	Acanthocorbis apoda (Leadbeater) Hara & Takahashi, 1984	4378243	www.gbif.org/species/4378243	1			0	scaled.circles
105543	Acanthocorbis asymmetrica	Acanthocorbis asymmetrica (Thomsen) Hara & Takahashi, 1984	4378239	www.gbif.org/species/4378239	1			0	scaled.circles
105544	Acanthocorbis campanula	Acanthocorbis campanula (Espeland) Thomsen, 1991	4378234	www.gbif.org/species/4378234	1			0	scaled.circles
105545	Acanthocorbis haurakiana	Acanthocorbis haurakiana Thomsen, 1991	4378242	www.gbif.org/species/4378242	1			0	scaled.circles
105546	Acanthocorbis unguiculata	Acanthocorbis unguiculata (Thomsen) Hara & Takahashi, 1984	4378236	www.gbif.org/species/4378236	6	4378238	Acanthoecopsis unguiculata	0	scaled.circles
105547	Acanthoeca brevipoda	Acanthoeca brevipoda W.Ellis, 1930	4270006	www.gbif.org/species/4270006	1			0	scaled.circles
105548	Acanthoeca spectabilis	Acanthoeca spectabilis W.N.Ellis, 1930	4270005	www.gbif.org/species/4270005	18			0	scaled.circles
105556	Bicosta antennigera	Bicosta antennigera Moestrup, 1979	3194484	www.gbif.org/species/3194484	1			0	scaled.circles
105557	Bicosta minor	Bicosta minor (N.Reynolds) Leadbeater, 1978	3194485	www.gbif.org/species/3194485	307	5422050	Salpingoeca minor	0	scaled.circles
105558	Bicosta spinifera	Bicosta spinifera (Throndsen) Leadbeater, 1978	3194487	www.gbif.org/species/3194487	83			0	scaled.circles
105559	Calliacantha longicaudata	Calliacantha longicaudata (Leadbeater) Leadbeater, 1978	7534548	www.gbif.org/species/7534548	593	7855622	Salpingoeca longicaudata	0	scaled.circles
105560	Calliacantha multispina	Calliacantha multispina Manton & Oates, 1979	7968251	www.gbif.org/species/7968251	0			0	scaled.circles
105561	Calliacantha natans	Calliacantha natans (Grøntved) Leadbeater, 1978	7420660	www.gbif.org/species/7420660	1687	8087883	Salpingoeca natans	2	scaled.circles
105562	Calliacantha simplex	Calliacantha simplex Manton & Oates, 1979	8290600	www.gbif.org/species/8290600	87			0	scaled.circles
105567	Cosmoeca norvegica	Cosmoeca norvegica Thomsen, 1984	7762238	www.gbif.org/species/7762238	1			0	scaled.circles
105568	Cosmoeca ventricosa	Cosmoeca ventricosa Thomsen, 1984	8005473	www.gbif.org/species/8005473	3			0	scaled.circles
105569	Crinolina isefiordensis	Crinolina isefiordensis Thomsen, 1976	7866403	www.gbif.org/species/7866403	223			0	scaled.circles
105570	Crucispina cruciformis	Crucispina cruciformis (Leadbeater) Espeland, 1986	8262974	www.gbif.org/species/8262974	1			0	scaled.circles
105571	Diaphanoeca grandis	Diaphanoeca grandis Ellis, 1930	8240678	www.gbif.org/species/8240678	449			0	scaled.circles
105573	Diaphanoeca pedicellata	Diaphanoeca pedicellata Leadbeater, 1972	7844752	www.gbif.org/species/7844752	5			0	scaled.circles
105574	Diaphanoeca sphaerica	Diaphanoeca sphaerica Thomsen, 1982	7651866	www.gbif.org/species/7651866	99			0	scaled.circles
105575	Diaphanoeca undulata	Diaphanoeca undulata Thomsen	4378276	www.gbif.org/species/4378276	5			0	scaled.circles
105578	Monocosta fennica	Monocosta fennica Thomsen	4378281	www.gbif.org/species/4378281	1			0	scaled.circles
105579	Nannoeca minuta	Nannoeca minuta (Leadbeater) Thomsen	4378228	www.gbif.org/species/4378228	1			0	scaled.circles
105582	Parvicorbicula circularis	Parvicorbicula circularis Thomsen, 1976	7588036	www.gbif.org/species/7588036	1			0	scaled.circles
105587	Parvicorbicula quadricostata	Parvicorbicula quadricostata Throndsen, 1970	7706114	www.gbif.org/species/7706114	2			0	scaled.circles
105588	Parvicorbicula socialis	Parvicorbicula socialis (Meunier) Deflandre, 1960	7555568	www.gbif.org/species/7555568	84			0	scaled.circles
105590	Parvicorbicula superpositus	Parvicorbicula superpositus Booth, 1990	8310831	www.gbif.org/species/8310831	1			0	scaled.circles
105591	Platypleura infundibuliformis	Platypleura infundibuliformis (Leadbeater) Thomsen	5730629	www.gbif.org/species/5730629	1			0	scaled.circles
105595	Pleurasiga echinocostata	Pleurasiga echinocostata Espeland	7382801	www.gbif.org/species/7382801	197	8128087	Pleurasiga reynoldsii	196	scaled.circles
105598	Pleurasiga minima	Pleurasiga minima Throndsen, 1970	7809870	www.gbif.org/species/7809870	116			0	scaled.circles
105601	Pleurasiga reynoldsii	Pleurasiga reynoldsii Throndsen, 1970	8128087	www.gbif.org/species/8128087	196			0	scaled.circles
105605	Polyfibula sphyrelata	Polyfibula sphyrelata (Thomsen) Manton, 1981	8186393	www.gbif.org/species/8186393	1	7515731, 4269998	Campanoeca dilatata, Pleurasiga caudata	0	scaled.circles
105607	Polyoeca dichotoma	Polyoeca dichotoma W.S.Kent, 1881	4378194	www.gbif.org/species/4378194	1			0	scaled.circles
105610	Saepicula pulchra	Saepicula pulchra Leadbeater	4378214	www.gbif.org/species/4378214	1			0	scaled.circles
105611	Saroeca attenuata	Saroeca attenuata Thomsen	4378198	www.gbif.org/species/4378198	1			0	scaled.circles
105612	Savillea micropora	Savillea micropora (Norris) Leadbeater	4378247	www.gbif.org/species/4378247	16			0	scaled.circles
105613	Savillea parva	Savillea parva (Ellis) Loeblich III	4270000	www.gbif.org/species/4270000	4			0	scaled.circles
105617	Stephanoeca apheles	Stephanoeca apheles Thomsen, Buck & Chavez, 1991	7428815	www.gbif.org/species/7428815	1			0	scaled.circles
105620	Stephanoeca complexa	Stephanoeca complexa (R.E.Norris) J.Throndsen	4378262	www.gbif.org/species/4378262	0			0	scaled.circles
105622	Stephanoeca cupula	Stephanoeca cupula (Leadbeater) Thomsen	4378258	www.gbif.org/species/4378258	1			0	scaled.circles
105623	Stephanoeca diplocostata	Stephanoeca diplocostata W.N.Ellis, 1930	8393647	www.gbif.org/species/8393647	13			0	scaled.circles
105624	Stephanoeca elegans	Stephanoeca elegans (R.E.Norris) Throndsen	4378251	www.gbif.org/species/4378251	1			0	scaled.circles
105625	Stephanoeca kentii	Stephanoeca kentii W.N.Ellis	4378260	www.gbif.org/species/4378260	0			0	scaled.circles
105626	Stephanoeca norrisii	Stephanoeca norrisii H.A.Thomsen	4378265	www.gbif.org/species/4378265	2			0	scaled.circles
105631	Stephanoeca urnula	Stephanoeca urnula H.A.Thomsen	4378261	www.gbif.org/species/4378261	1			0	scaled.circles
105633	Codosiga botrytis	Codosiga botrytis Kent, 1880	7794920	www.gbif.org/species/7794920	5			0	scaled.circles
105636	Desmarella moniliformis	Desmarella moniliformis W.S.Kent, 1878	8236446	www.gbif.org/species/8236446	120			0	scaled.circles
105643	Monosiga marina	Monosiga marina Grøntved, 1952	3194451	www.gbif.org/species/3194451	32			0	scaled.circles
105644	Monosiga micropelagica	Monosiga micropelagica Throndsen	7585492	www.gbif.org/species/7585492	0			0	scaled.circles
105645	Monosiga ovata	Monosiga ovata Kent, 1881	8420648	www.gbif.org/species/8420648	29			0	scaled.circles
105654	Salpingoeca aggregata	Salpingoeca aggregata Valkanov	7359815	www.gbif.org/species/7359815	0			0	scaled.circles
105655	Salpingoeca amphoridium	Salpingoeca amphoridium Clark, 1867	8177774	www.gbif.org/species/8177774	2			0	scaled.circles
105661	Salpingoeca collaris	Salpingoeca collaris Stokes	7833834	www.gbif.org/species/7833834	0			0	scaled.circles
105668	Salpingoeca inquillata	Salpingoeca inquillata Kent	7794726	www.gbif.org/species/7794726	10			0	scaled.circles
105671	Salpingoeca marina	Salpingoeca marina James-Clark, 1868	7397355	www.gbif.org/species/7397355	2			0	scaled.circles
106281	Chroomonas	Chroomonas Hansgirg, 1885	3202572	www.gbif.org/species/3202572	1783	5423990	Cyanomonas	0	scaled.circles
106282	Cryptomonas	Cryptomonas Ehrenberg, 1831	3202413	www.gbif.org/species/3202413	9189			0	scaled.circles
106283	Plagioselmis	Plagioselmis Butcher ex G.Novarino, I.A.N.Lucas & S.Morrall, 1994	3202470	www.gbif.org/species/3202470	32695			0	orangeHeat.point
106285	Teleaulax	Teleaulax Hill, 1991	3202524	www.gbif.org/species/3202524	45933			0	orangeHeat.point
106286	Goniomonas	Goniomonas F.Stein, 1878	3202403	www.gbif.org/species/3202403	180			0	scaled.circles
106287	Hemiselmis	Hemiselmis Parke, 1949	3202511	www.gbif.org/species/3202511	15254			0	scaled.circles
106288	Pyrenomonas	Pyrenomonas Santore, 1984	3202535	www.gbif.org/species/3202535	0			0	scaled.circles
106289	Rhodomonas	Rhodomonas G.Karsten, 1898	3202546	www.gbif.org/species/3202546	5097			0	scaled.circles
106292	Chroomonas baltica	Chroomonas baltica (J.Büttner) N.Carter, 1937	3202587	www.gbif.org/species/3202587	13	6540143	Cyanomonas baltica	0	scaled.circles
106295	Chroomonas vectensis	Chroomonas vectensis N.Carter, 1937	4281021	www.gbif.org/species/4281021	640			0	scaled.circles
106297	Cryptomonas baltica	Cryptomonas baltica (Karsten) Butcher, 1967	4281038	www.gbif.org/species/4281038	103	5424015	Rhodomonas baltica	29	scaled.circles
106303	Plagioselmis prolonga	Plagioselmis prolonga Butcher ex G.Novarino, I.A.N.Lucas & S.Morrall, 1994	7957916	www.gbif.org/species/7957916	25992	3202471	Plagioselmis punctata	0	scaled.circles
106305	Teleaulax acuta	Teleaulax acuta (Butcher) D.R.A.Hill, 1991	3202529	www.gbif.org/species/3202529	12643	3202530	Cryptomonas acuta	10	scaled.circles
106306	Teleaulax amphioxeia	Teleaulax amphioxeia (W.Conrad) D.R.A.Hill, 1992	3202525	www.gbif.org/species/3202525	6890	4281025, 3202526, 5424001	Chroomonas amphioxeia, Chroomonas amphioxieia, Rhodomonas amphioxeia	0	scaled.circles
106307	Goniomonas amphinema	Goniomonas amphinema Larsen & Patterson	4376444	www.gbif.org/species/4376444	59			0	scaled.circles
106308	Goniomonas pacifica	Goniomonas pacifica J.Larsen & D.J.Patterson, 1990	4376443	www.gbif.org/species/4376443	4			0	scaled.circles
106309	Goniomonas truncata	Goniomonas truncata (Fresenius) Stein, 1878	3202404	www.gbif.org/species/3202404	13	8214161, 3202405	Cyathomonas truncata, Monas truncata	0	scaled.circles
106310	Hemiselmis virescens	Hemiselmis virescens Droop, 1955	3202513	www.gbif.org/species/3202513	7005			0	scaled.circles
106314	Rhodomonas marina	Rhodomonas marina (P.A.Dangeard) Lemmermann, 1899	5424012	www.gbif.org/species/5424012	1130	3202558	Cryptomonas marina	0	scaled.circles
106316	Rhodomonas salina	Rhodomonas salina (Wislouch) D.R.A.Hill & R.Wetherbee, 1989	5424005	www.gbif.org/species/5424005	23	3202590, 3202430, 4376439	Chroomonas salina, Cryptomonas salina, Pyrenomonas salina	0	scaled.circles
109386	Blastodiniales	Blastodiniales Chatton	8941098	www.gbif.org/species/8941098	641	8884878	Blastodinida	0	scaled.circles
109391	Gonyaulacales	Gonyaulacales Taylor, 1980	8775728	www.gbif.org/species/8775728	224008			0	orangeHeat.point
