List	HELCOM area	OSPAR area	Division	Class	Order	Genus	Species	SFLAG	STAGE	Author	AphiaID	AphiaID_link	Trophy	Geometric_shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted_name	Unit	SizeRange	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No_of_cells/counting_unit	Calculated_volume_um3	Comment	Filament_length_of_cell(µm)	Calculated_Carbon_pg/counting_unit	Comment_on_Carbon_calculation	Corrections/Additions	Synonyms - NOT IMPORTED, NOT handled by ICES	WORMS Rank	"Comment_on_colony_form
 "" - "" indicates solitary life form, i.e. does nor form colonies  - NOT IMPORTED, NOT handled by ICES"
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Cosmarium	Cosmarium			Corda ex Ralfs 1848	478557	http://www.marinespecies.org/aphia.php?p=taxdetails&id=478557	AU	flattened ellipsoid	?/6*l*d1*d2	1			cell	20	20				15	7	1	1099			154,8640399				Genus	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Cosmarium	Cosmarium			Corda ex Ralfs 1848	478557	http://www.marinespecies.org/aphia.php?p=taxdetails&id=478557	AU	flattened ellipsoid	?/6*l*d1*d2	2			cell	35	35				30	15	1	8242,5			1027,148203				Genus	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Cosmarium	Cosmarium			Corda ex Ralfs 1848	478557	http://www.marinespecies.org/aphia.php?p=taxdetails&id=478557	AU	flattened ellipsoid	?/6*l*d1*d2	3			cell	70	70				50	15	1	27475			3181,385171				Genus	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium aciculare			T.West 1860	572006	http://www.marinespecies.org/aphia.php?p=taxdetails&id=572006	AU	2 cones	?/12*d^2*h	1			cell	 5-6x350-400				380	5,6		1	3118,229333			412,3190614				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium aciculare			T.West 1860	572006	http://www.marinespecies.org/aphia.php?p=taxdetails&id=572006	AU	2 cones	?/12*d^2*h	2			cell	 6x500-550				532	6		1	5011,44			643,7519708				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium aciculare			T.West 1860	572006	http://www.marinespecies.org/aphia.php?p=taxdetails&id=572006	AU	2 cones	?/12*d^2*h	3			cell	 6x650-700				677	6		1	6377,34			807,2541917				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Klebsormidiophyceae	KLEBSORMIDIALES	Elakatothrix	Elakatothrix			Wille 1898	572035	http://www.marinespecies.org/aphia.php?p=taxdetails&id=572035	AU	2 cones	?/12*d^2*h	1			cell	3-5x10-14				12	4		1	50,24			8,545536912				Genus	 -
PEG_BVOL2021	x		CHAROPHYTA	Klebsormidiophyceae	KLEBSORMIDIALES	Elakatothrix	Elakatothrix			Wille 1898	572035	http://www.marinespecies.org/aphia.php?p=taxdetails&id=572035	AU	2 cones	?/12*d^2*h	2			cell	5-6x25-30				27,5	5,5		1	217,6739583			33,85743326				Genus	 -
PEG_BVOL2021	x		CHAROPHYTA	Klebsormidiophyceae	KLEBSORMIDIALES	Elakatothrix	Elakatothrix gelatinosa			Wille 1898	572036	http://www.marinespecies.org/aphia.php?p=taxdetails&id=572036	AU	cone	?/12*d^2*h	1			cell	 5x16				16	5		1	104,6666667			17,02369511				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Klebsormidiophyceae	KLEBSORMIDIALES	Elakatothrix	Elakatothrix gelatinosa			Wille 1898	572036	http://www.marinespecies.org/aphia.php?p=taxdetails&id=572036	AU	cone	?/12*d^2*h	2			colony	 5x16				16	5		2	209,3333333			34,04739021				Species	colonies of cells up to 80, randomly distributed or arranged in irregular rows within a mucilaginous envelope
