taxon_id	itis_id	url
109437	10488	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10488
109438	2279	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=2279
109440	10550	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10550
109442	9876	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9876
109444	573288	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573288
109462	9928	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9928
109466	9929	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9929
109467	573315	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573315
109468	10545	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10545
109470	183929	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183929
109471	183969	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183969
109472	183971	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183971
109473	9997	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=9997
109474	10021	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10021
109475	10031	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10031
109476	10077	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10077
109477	10104	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10104
109479	10121	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10121
109480	10159	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10159
109484	331297	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=331297
109485	10138	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10138
109486	10145	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10145
109487	10143	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10143
109490	10128	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10128
109491	10130	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10130
109492	10123	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10123
109499	331428	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=331428
109500	10148	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10148
109504	573311	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573311
109505	573303	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573303
109506	10397	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10397
109509	10482	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10482
109510	10485	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10485
109514	10576	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10576
109515	10169	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10169
109517	10357	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10357
