taxon_id	pr2_name	url
872069	Abollifer_prolabens	https://app.pr2-database.org/pr2-database/
105546	Acanthocorbis_unguiculata	https://app.pr2-database.org/pr2-database/
105548	Acanthoeca_spectabilis	https://app.pr2-database.org/pr2-database/
149387	Achnanthes_brevipes	https://app.pr2-database.org/pr2-database/
149387	Achnanthes_brevipes:plas	https://app.pr2-database.org/pr2-database/
156533	Achnanthes_longipes:plas	https://app.pr2-database.org/pr2-database/
144407	Acrosiphonia_arcta	https://app.pr2-database.org/pr2-database/
160543	Actinastrum_hantzschii	https://app.pr2-database.org/pr2-database/
148949	Actinoptychus_splendens	https://app.pr2-database.org/pr2-database/
232546	Akashiwo_sanguinea	https://app.pr2-database.org/pr2-database/
231873	Alexandrium_catenella	https://app.pr2-database.org/pr2-database/
109710	Alexandrium_leei	https://app.pr2-database.org/pr2-database/
233447	Alexandrium_margalefii	https://app.pr2-database.org/pr2-database/
109711	Alexandrium_minutum	https://app.pr2-database.org/pr2-database/
109712	Alexandrium_ostenfeldii	https://app.pr2-database.org/pr2-database/
109713	Alexandrium_pseudogonyaulax	https://app.pr2-database.org/pr2-database/
109714	Alexandrium_tamarense	https://app.pr2-database.org/pr2-database/
235913	Algirosphaera_robusta	https://app.pr2-database.org/pr2-database/
103429	Amastigomonas_debruynei	https://app.pr2-database.org/pr2-database/
109578	Amoebophrya_ceratii	https://app.pr2-database.org/pr2-database/
109723	Amphidinium_carterae	https://app.pr2-database.org/pr2-database/
109733	Amphidinium_incoloratum	https://app.pr2-database.org/pr2-database/
109735	Amphidinium_klebsii	https://app.pr2-database.org/pr2-database/
109741	Amphidinium_longum	https://app.pr2-database.org/pr2-database/
109745	Amphidinium_operculatum	https://app.pr2-database.org/pr2-database/
163633	Amphipleura_pellucida	https://app.pr2-database.org/pr2-database/
163655	Amphora_commutata	https://app.pr2-database.org/pr2-database/
160703	Amphora_laevissima	https://app.pr2-database.org/pr2-database/
149524	Amphora_ovalis	https://app.pr2-database.org/pr2-database/
149524	Amphora_ovalis:plas	https://app.pr2-database.org/pr2-database/
163673	Amphora_pediculus	https://app.pr2-database.org/pr2-database/
149202	Amphora_proteus	https://app.pr2-database.org/pr2-database/
110007	Amylax_triacantha	https://app.pr2-database.org/pr2-database/
118040	Ancyromonas_sigmoides	https://app.pr2-database.org/pr2-database/
163490	Ankistrodesmus_falcatus	https://app.pr2-database.org/pr2-database/
608578	Ankistrodesmus_fusiformis	https://app.pr2-database.org/pr2-database/
836894	Ankistrodinium_semilunatum	https://app.pr2-database.org/pr2-database/
572080	Ankyra_judayi	https://app.pr2-database.org/pr2-database/
149412	Anomoeoneis_sphaerophora	https://app.pr2-database.org/pr2-database/
248097	Apedinella_radians	https://app.pr2-database.org/pr2-database/
1359179	Apocalathium_aciculiferum	https://app.pr2-database.org/pr2-database/
1380043	Apocalathium_malmogiense	https://app.pr2-database.org/pr2-database/
624607	Archaeperidinium_minutum	https://app.pr2-database.org/pr2-database/
621678	Ardissonea_formosa	https://app.pr2-database.org/pr2-database/
145306	Arthrocladia_villosa	https://app.pr2-database.org/pr2-database/
213728	Arthrospira_platensis	https://app.pr2-database.org/pr2-database/
145311	Asperococcus_bullosus	https://app.pr2-database.org/pr2-database/
148954	Asterionella_formosa	https://app.pr2-database.org/pr2-database/
608476	Asterococcus_limneticus	https://app.pr2-database.org/pr2-database/
608477	Asterococcus_superbus	https://app.pr2-database.org/pr2-database/
428505	Asteromonas_gracilis	https://app.pr2-database.org/pr2-database/
113843	Astrorhiza_limicola	https://app.pr2-database.org/pr2-database/
160520	Attheya_decora	https://app.pr2-database.org/pr2-database/
162837	Aulacoseira_alpigena	https://app.pr2-database.org/pr2-database/
148960	Aulacoseira_ambigua	https://app.pr2-database.org/pr2-database/
148960	Aulacoseira_ambigua:plas	https://app.pr2-database.org/pr2-database/
162846	Aulacoseira_crenulata	https://app.pr2-database.org/pr2-database/
149096	Aulacoseira_distans	https://app.pr2-database.org/pr2-database/
148961	Aulacoseira_granulata	https://app.pr2-database.org/pr2-database/
148961	Aulacoseira_granulata:plas	https://app.pr2-database.org/pr2-database/
149648	Aulacoseira_islandica	https://app.pr2-database.org/pr2-database/
162903	Aulacoseira_subarctica	https://app.pr2-database.org/pr2-database/
162906	Aulacoseira_valida	https://app.pr2-database.org/pr2-database/
375699	Aureococcus_anophagefferens	https://app.pr2-database.org/pr2-database/
375699	Aureococcus_anophagefferens:plas	https://app.pr2-database.org/pr2-database/
612111	Auxenochlorella_protothecoides	https://app.pr2-database.org/pr2-database/
612111	Auxenochlorella_protothecoides:plas	https://app.pr2-database.org/pr2-database/
837075	Azadinium_caudatum	https://app.pr2-database.org/pr2-database/
391509	Azadinium_spinosum	https://app.pr2-database.org/pr2-database/
149119	Bacteriastrum_hyalinum	https://app.pr2-database.org/pr2-database/
149119	Bacteriastrum_hyalinum:plas	https://app.pr2-database.org/pr2-database/
1633651	Balechina_gracilis	https://app.pr2-database.org/pr2-database/
627714	Balticola_droebakensis	https://app.pr2-database.org/pr2-database/
614572	Bambusina_borreri	https://app.pr2-database.org/pr2-database/
1371463	Barrufeta_resplendens	https://app.pr2-database.org/pr2-database/
345459	Bathycoccus_prasinos	https://app.pr2-database.org/pr2-database/
345459	Bathycoccus_prasinos:plas	https://app.pr2-database.org/pr2-database/
104002	Bicosoeca_petiolata	https://app.pr2-database.org/pr2-database/
105557	Bicosta_minor	https://app.pr2-database.org/pr2-database/
162952	Biddulphia_biddulphiana	https://app.pr2-database.org/pr2-database/
