List	HELCOM area	OSPAR area	Division	Class	Order	Genus	Species	SFLAG	STAGE	Author	AphiaID	AphiaID_link	Trophy	Geometric_shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted_name	Unit	SizeRange	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No_of_cells/counting_unit	Calculated_volume_µm3	Comment	Filament_length_of_cell(µm)	Calculated_Carbon_pg/counting_unit	Comment_on_Carbon_calculation	Corrections/Additions - NOT IMPORTED, NOT handled by ICES	Synonyms - NOT IMPORTED, NOT handled by ICES	WORMS Rank	"Comment_on_colony_form "" - "" indicates solitary life form, i.e. does nor form colonies  - NOT IMPORTED, NOT handled by ICES"
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	5			colony	 1-2	2				1		200	209,333333			45,090373	based on individual cell			Genus	Irregular / filled with cells (cells also inside colony)
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	6			cell	 2-4	3				2		1	6,28			1,212657				Genus	Irregular / filled with cells (cells also inside colony)
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	7			colony	 2-4	3				2		20	125,6			24,253133	based on individual cell			Genus	Irregular / filled with cells (cells also inside colony)
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	8			colony	 2-4	3				2		50	314			60,632833	based on individual cell			Genus	Irregular / filled with cells (cells also inside colony)
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	9			colony	 2-4	3				2		100	628			121,265666	based on individual cell			Genus	Irregular / filled with cells (cells also inside colony)
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	10			colony	 2-4	3				2		200	1256			242,531332	based on individual cell			Genus	Irregular / filled with cells (cells also inside colony)
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus cumulatus			Bachmann 1921	162699	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162699	AU	sphere	?/6*d^3	1			cell	 5-7					6		1	113,04			18,29948				Species	Irregular / filled with cells (cells also inside colony)
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus dispersus			(Keissler) Lemmermann 1904	146569	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146569	AU	sphere	?/6*d^3	1			cell	3					3		1	14,13			2,596792				Species	Spherical or irregular / filled with cells (cells also inside colony)
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus dispersus			(Keissler) Lemmermann 1904	146569	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146569	AU	sphere	?/6*d^3	2			cell	4					4		1	33,493333			5,839688				Species	Spherical or irregular / filled with cells (cells also inside colony)
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus distans			(G.M.Smith) Komárková-Legnerová & Cronberg 1994	162704	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162704	AU	sphere	?/6*d^3	1			cell	 5.5-7.5					6,5		1	143,720417			22,927864				Species	Spherical or irregular / filled with cells (cells also inside colony)
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus minimus			(Keissler) Lemmermann 1904	162714	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162714	AU	sphere	?/6*d^3	1			cell	 1.7-3					2,5		1	8,177083			1,553759				Species	Spherical or irregular / filled with cells (cells also inside colony)
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus minor			(Kützing) Nägeli 1849	146614	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146614	AU	sphere	?/6*d^3	1			cell	 3-4					3,5		1	22,437917			4,00891				Species	Irregular / filled with cells (cells also inside colony)
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus minutus			(Kützing) Nägeli 1849	146567	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146567	AU	sphere	?/6*d^3	1			cell	  4-10					6		1	113,04			18,29948				Species	Solitary or spherical few-celled colonies
