List	HELCOM area	OSPAR area	Division	Class	Order	Genus	Species	SFLAG	STAGE	Author	AphiaID	AphiaID_link	Trophy	Geometric_shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted_name	Unit	SizeRange	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No_of_cells/counting_unit	Calculated_volume_µm3	Comment	Filament_length_of_cell(µm)	Calculated_Carbon_pg/counting_unit	Comment_on_Carbon_calculation	Corrections/Additions - NOT IMPORTED, NOT handled by ICES	Synonyms - NOT IMPORTED, NOT handled by ICES	WORMS Rank	"Comment_on_colony_form "" - "" indicates solitary life form, i.e. does nor form colonies  - NOT IMPORTED, NOT handled by ICES"
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Heterocapsa	Heterocapsa			Stein 1883	109540	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109540	AU	cone + half sphere	?/12*d^2*(h+d/2)	1			cell	 5-7x10-12				11	6		1	131,88			21,149581				Genus	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Heterocapsa	Heterocapsa			Stein 1883	109540	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109540	AU	cone + half sphere	?/12*d^2*(h+d/2)	2			cell	7-10x12-15				13,5	8,5		1	335,571146			50,835313				Genus	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Heterocapsa	Heterocapsa			Stein 1883	109540	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109540	AU	2 cones	?/12*d^2*h	3			cell	 8x15-17				16	8		1	267,946667			41,15202				Genus	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Heterocapsa	Heterocapsa			Stein 1883	109540	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109540	AU	2 cones	?/12*d^2*h	4			cell	11x17-19				18	11		1	569,91			83,590293				Genus	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Heterocapsa	Heterocapsa			Stein 1883	109540	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109540	AU	2 cones	?/12*d^2*h	5			cell	14-15x20				20	14,5		1	1100,308333			155,037149				Genus	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Heterocapsa	Heterocapsa			Stein 1883	109540	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109540	AU	2 cones	?/12*d^2*h	6			cell	15x23				23	15		1	1354,125			188,400184				Genus	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Heterocapsa	Heterocapsa			Stein 1883	109540	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109540	AU	2 cones	?/12*d^2*h	7			cell	17-21x25-28				27	19		1	2550,465			341,404576				Genus	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Heterocapsa	Heterocapsa			Stein 1883	109540	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109540	AU	2 cones	?/12*d^2*h	8			cell	21-23x32-34				33	22		1	4179,34			542,842554				Genus	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Kryptoperidinium	Kryptoperidinium foliaceum			(F.Stein) Lindemann 1924	110154	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110154	AU	flattened ellipsoid	?/6*l*d1*d2	5			cell	20-25	22,5				22,5	11,25	1	2980,546875			395,200654				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Kryptoperidinium	Kryptoperidinium foliaceum			(F.Stein) Lindemann 1924	110154	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110154	AU	flattened ellipsoid	?/6*l*d1*d2	6			cell	25-30	27,5				27,5	13,75	1	5441,848958			695,536137				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Kryptoperidinium	Kryptoperidinium foliaceum			(F.Stein) Lindemann 1924	110154	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110154	AU	flattened ellipsoid	?/6*l*d1*d2	7			cell	30-40	35				35	17,5	1	11218,95833			1372,016018				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Kryptoperidinium	Kryptoperidinium foliaceum			(F.Stein) Lindemann 1924	110154	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110154	AU	flattened ellipsoid	?/6*l*d1*d2	8			cell	40-50	45				45	22,5	1	23844,375			2784,961219				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Lessardia	Lessardia elongata			Saldarriaga & F.J.R.Taylor 2003	232703	http://www.marinespecies.org/aphia.php?p=taxdetails&id=232703	AU	flattened ellipsoid	?/6*l*d1*d2	1			cell	 25-30	28				9	9	1	1186,92			166,469813				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Oblea	Oblea rotunda			(Lebour) Balech ex Sournia 1973	110155	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110155	HT	sphere-10%	?/6*d^3*0.9	4			cell	30					30		1	12717			1543,37321				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Oblea	Oblea rotunda	CPX					HT	sphere-10%	?/6*d^3*0.9	1			cell	 22-28					25		1	7359,375			923,458509					
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Oblea	Oblea rotunda	CPX					HT	sphere-10%	?/6*d^3*0.9	2			cell	 28-33					30		1	12717			1543,37321					
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Oblea	Oblea rotunda	CPX					HT	sphere-10%	?/6*d^3*0.9	3			cell	 34-36					35		1	20194,125			2382,648972					
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Oblea	Oblea rotunda	CPX					HT	sphere-10%	?/6*d^3*0.9	5			cell	36-42					39		1	27939,249			3231,836496					
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Oxytoxum	Oxytoxum criophilum			Balech 1965	233857	http://www.marinespecies.org/aphia.php?p=taxdetails&id=233857	AU	2 cones	?/12*d^2*h	1			cell	20-30x40-60				50	25		1	8177,083333			1019,491645				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Oxytoxum	Oxytoxum gracile			Schiller 1937	233870	http://www.marinespecies.org/aphia.php?p=taxdetails&id=233870	AU	2 cones	?/12*d^2*h	1			cell	10-14x25-35				30	12		1	1130,4			159,015236				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Oxytoxum	Oxytoxum			Stein 1883	109528	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109528	AU	2 cones	?/12*d^2*h	1			cell	30-40x20-30				36	26		1	6367,92			806,134478				Genus	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Parvodinium	Parvodinium inconspicuum			(Lemmermann) S.Carty 2008	838487	http://www.marinespecies.org/aphia.php?p=taxdetails&id=838487	AU	flattened ellipsoid	?/6*l*d1*d2	1			cell	 20x30	30				20	13,4	1	4207,6			546,288548			Peridinium inconspicuum	Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Parvodinium	Parvodinium inconspicuum			(Lemmermann) S.Carty 2008	838487	http://www.marinespecies.org/aphia.php?p=taxdetails&id=838487	AU	flattened ellipsoid	?/6*l*d1*d2	2			cell	15x20	20				15	10,05	1	1577,85			217,48908			Peridinium inconspicuum	Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Pentapharsodinium	Pentapharsodinium dalei			Indelicato & Loeblich III 1986	109925	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109925	AU	cone + half sphere	?/12*d^2*(h+d/2)	1			cell	<15				14	10		1	497,166667			73,530773				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Pentapharsodinium	Pentapharsodinium dalei			Indelicato & Loeblich III 1986	109925	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109925	AU	cone + half sphere	?/12*d^2*(h+d/2)	2			cell	15-20				18	14		1	1282,166667			178,983757				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Pentapharsodinium	Pentapharsodinium dalei			Indelicato & Loeblich III 1986	109925	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109925	AU	cone + half sphere	?/12*d^2*(h+d/2)	3			cell	20-25				23	20		1	3454			453,877258				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Peridinium	Peridinium cinctum			(O.F.Müller) Ehrenberg 1832	110183	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110183	AU	sphere-20%	?/6*d^3*0.8	1			cell	45					45		1	38151			4329,999196				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Peridinium	Peridinium quadridentatum			(F.Stein) Gert Hansen, 1995	1305343	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1305343	HT	cone + half sphere	?/12*d^2*(h+d/2)	1			cell	20-25x25-30				27,5	22,5		1	5133,164063			658,42362			Protoperidinium quinquecorne	Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Peridinium	Peridinium			Ehrenberg 1830	109549	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109549	AU	flattened ellipsoid	?/6*l*d1*d2	1			cell	 25X26-34	30				25	12	1	4710			607,323915				Genus	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Peridinium	Peridinium			Ehrenberg 1830	109549	http://www.marinespecies.org/aphia.php?p=taxdetails&id=109549	AU	flattened ellipsoid	?/6*l*d1*d2	2			cell	35-45x35-45	40				40	20	1	16746,66667			1998,584414				Genus	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Preperidinium	Preperidinium meunieri			(Pavillard) Elbrächter 1993	614618	http://www.marinespecies.org/aphia.php?p=taxdetails&id=614618	HT	flattened ellipsoid	?/6*l*d1*d2	1			cell	 28x48	48				28	18,76	1	13195,0336			1597,788206				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Preperidinium	Preperidinium meunieri			(Pavillard) Elbrächter 1993	614618	http://www.marinespecies.org/aphia.php?p=taxdetails&id=614618	HT	flattened ellipsoid	?/6*l*d1*d2	2			cell	38x55	55				38	25,46	1	27847,29933			3221,848139				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium achromaticum			(Levander, 1902) Balech 1974	110205	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110205	HT	sphere-10%	?/6*d^3*0.9	3			cell	 33-37					35		1	20194,125			2382,648972			Peridinium achromaticum	Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium achromaticum			(Levander, 1902) Balech 1974	110205	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110205	HT	sphere-10%	?/6*d^3*0.9	4			cell	 38-42					40		1	30144			3470,750369			Peridinium achromaticum	Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium bipes			(Paulsen) Balech 1974	110208	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110208	HT	half cone	?/24*d^2*h	1			cell	12-14x18-22				20	13		1	442,216667			65,872647				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium bipes			(Paulsen) Balech 1974	110208	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110208	HT	half cone	?/24*d^2*h	2			cell	17-21x23-26				25	19		1	1180,770833			165,659851				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium bipes			(Paulsen) Balech 1974	110208	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110208	HT	half cone	?/24*d^2*h	3			cell	 22-26x27-30				28	24		1	2110,08			285,739604				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium breve			(Paulsen) Balech 1974	110209	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110209	HT	sphere-10%	?/6*d^3*0.9	1			cell	 23-27					25		1	7359,375			923,458509				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium breve			(Paulsen) Balech 1974	110209	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110209	HT	sphere-10%	?/6*d^3*0.9	2			cell	 28-32					30		1	12717			1543,37321				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium breve			(Paulsen) Balech 1974	110209	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110209	HT	sphere-10%	?/6*d^3*0.9	3			cell	 33-37					35		1	20194,125			2382,648972				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium breve			(Paulsen) Balech 1974	110209	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110209	HT	sphere-10%	?/6*d^3*0.9	4			cell	 38-42					40		1	30144			3470,750369				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium breve			(Paulsen) Balech 1974	110209	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110209	HT	sphere-10%	?/6*d^3*0.9	5			cell	 43-47					45		1	42919,875			4836,375743				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium breve			(Paulsen) Balech 1974	110209	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110209	HT	sphere-10%	?/6*d^3*0.9	6			cell	 48-52					50		1	58875			6507,570551				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium brevipes			(Paulsen) Balech 1974	110210	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110210	HT	cone + half sphere	?/12*d^2*(h+d/2)	1			cell	 18-22				20	20		1	3140			415,021591				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium brevipes			(Paulsen) Balech 1974	110210	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110210	HT	cone + half sphere	?/12*d^2*(h+d/2)	2			cell	 23-29				26	26		1	6898,58			869,058705				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium brevipes			(Paulsen) Balech 1974	110210	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110210	HT	cone + half sphere	?/12*d^2*(h+d/2)	3			cell	 30-35				34	31		1	12447,3525			1512,624197				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium brevipes			(Paulsen) Balech 1974	110210	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110210	HT	cone + half sphere	?/12*d^2*(h+d/2)	4			cell	 36-40				37	37		1	19881,3025			2347,974898				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium bolmonense			Chomérat & Couté 2008	623339	http://www.marinespecies.org/aphia.php?p=taxdetails&id=623339	HT	flattened ellipsoid	?/6*l*d1*d2	1			cell	15-18x18-22	20				16,5	12	1	2072,4			280,945737				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium cerasus			(Paulsen, 1907) Balech 1973	162749	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162749	HT	cone + half sphere	?/12*d^2*(h+d/2)	1			cell	 40x50				50	40		1	29306,66667			3380,144168				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium claudicans			(Paulsen) Balech 1974	163862	http://www.marinespecies.org/aphia.php?p=taxdetails&id=163862	HT	cone + half sphere	?/12*d^2*(h+d/2)	1			cell	55x83				83	55		1	87465,35417			9437,083779				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium claudicans			(Paulsen) Balech 1974	163862	http://www.marinespecies.org/aphia.php?p=taxdetails&id=163862	HT	cone + half sphere	?/12*d^2*(h+d/2)	2			cell	72x84				84	72		1	162777,6			16909,9031				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium claudicans			(Paulsen) Balech 1974	163862	http://www.marinespecies.org/aphia.php?p=taxdetails&id=163862	HT	cone + half sphere	?/12*d^2*(h+d/2)	3			cell	65x85				85	65		1	129901,1458			13681,58274				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium conicoides			(Paulsen) Balech 1973	110212	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110212	HT	cone + half sphere	?/12*d^2*(h+d/2)	1			cell	 44-48				46	46		1	38204,38			4335,687823				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium conicoides			(Paulsen) Balech 1973	110212	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110212	HT	cone + half sphere	?/12*d^2*(h+d/2)	2			cell	 48-52				50	50		1	49062,5			5483,624336				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium conicoides			(Paulsen) Balech 1973	110212	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110212	HT	cone + half sphere	?/12*d^2*(h+d/2)	3			cell	 52-57				55	55		1	65302,1875			7172,505488				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium conicum			(Gran) Balech 1974	110213	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110213	HT	cone + half sphere	?/12*d^2*(h+d/2)	1			cell	 52-57				55	55		1	65302,1875			7172,505488				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium conicum			(Gran) Balech 1974	110213	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110213	HT	cone + half sphere	?/12*d^2*(h+d/2)	2			cell	 57-62				60	50		1	55604,16667			6167,505423				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium conicum			(Gran) Balech 1974	110213	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110213	HT	cone + half sphere	?/12*d^2*(h+d/2)	6			cell	63-71				67	67		1	118049,4775			12506,10044				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium conicum			(Gran) Balech 1974	110213	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110213	HT	cone + half sphere	?/12*d^2*(h+d/2)	3			cell	 72-77				75	75		1	165585,9375			17183,70356				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium conicum			(Gran) Balech 1974	110213	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110213	HT	cone + half sphere	?/12*d^2*(h+d/2)	4			cell	 77-82				80	80		1	200960			20609,79568				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium conicum			(Gran) Balech 1974	110213	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110213	HT	cone + half sphere	?/12*d^2*(h+d/2)	5			cell	 87-92				90	90		1	286132,5			28719,068				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium crassipes			(Kofoid) Balech 1974	110214	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110214	HT	2 cones-30%	?/12*d^2*h*0.7	1			cell	70x95				95	70		1	85264,08333			9213,89258				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium crassipes			(Kofoid) Balech 1974	110214	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110214	HT	2 cones-30%	?/12*d^2*h*0.7	2			cell	70-80x55-65				60	75		1	61818,75			6812,643088				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium curtipes			(Jørgensen, 1912) Balech 1974	110215	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110215	HT	2 cones-30%	?/12*d^2*h*0.7	1			cell	70x95 				95	70		1	85264,08333			9213,89258				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium curvipes			(Ostenfeld) Balech 1974	163934	http://www.marinespecies.org/aphia.php?p=taxdetails&id=163934	HT	cone + half sphere	?/12*d^2*(h+d/2)	1			cell	65-75				70	70		1	134627,5			14148,4991				Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium denticulatum			(Gran & Braarud) Balech 1974	110216	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110216	HT	flattened ellipsoid-20%	?/6*l*d1*d2*0.8	1			cell	45-55	50				30	22,5	1	14130			1703,873079		"Correction of spaces in column ""Geometric_shape"""		Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium depressum			(Bailey, 1854) Balech 1974	110217	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110217	HT	(cone + half sphere)-20%	?/12*d^2*(h+d/2)*0.8	1			cell	65-75x105-115				110	70		1	148731,3333			15536,01642		"Correction of the decimal separator from ""comma"" to ""dot"" in column ""FORMULA"""		Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium depressum			(Bailey, 1854) Balech 1974	110217	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110217	HT	(cone + half sphere)-20%	?/12*d^2*(h+d/2)*0.8	2			cell	95-105x 95-105				100	100		1	314000			31337,95775		"Correction of the decimal separator from ""comma"" to ""dot"" in column ""FORMULA"""		Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium depressum			(Bailey, 1854) Balech 1974	110217	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110217	HT	(cone + half sphere)-20%	?/12*d^2*(h+d/2)*0.8	3			cell	105-115x105-115				110	110		1	417934			40989,61931		"Correction of the decimal separator from ""comma"" to ""dot"" in column ""FORMULA"""		Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium depressum			(Bailey, 1854) Balech 1974	110217	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110217	HT	(cone + half sphere)-20%	?/12*d^2*(h+d/2)*0.8	4			cell	85-95x115-130				125	90		1	288252			28918,78006		"Correction of the decimal separator from ""comma"" to ""dot"" in column ""FORMULA"""		Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium depressum			(Bailey, 1854) Balech 1974	110217	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110217	HT	(cone + half sphere)-20%	?/12*d^2*(h+d/2)*0.8	5			cell	110-120x130-150				140	115		1	546765,5833			52753,22921		"Correction of the decimal separator from ""comma"" to ""dot"" in column ""FORMULA"""		Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium divergens			(Ehrenberg) Balech 1974	110219	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110219	HT	(cone + half sphere)-20%	?/12*d^2*(h+d/2)*0.8	1			cell	60x80				80	60		1	82896			8973,394848		"Correction of the decimal separator from ""comma"" to ""dot"" in column ""FORMULA"""		Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium divergens			(Ehrenberg) Balech 1974	110219	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110219	HT	(cone + half sphere)-20%	?/12*d^2*(h+d/2)*0.8	2			cell	65x85				85	65		1	103920,9167			11095,26908		"Correction of the decimal separator from ""comma"" to ""dot"" in column ""FORMULA"""		Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium divergens			(Ehrenberg) Balech 1974	110219	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110219	HT	(cone + half sphere)-20%	?/12*d^2*(h+d/2)*0.8	3			cell	70x83				83	70		1	121036,5333			12803,01701		"Correction of the decimal separator from ""comma"" to ""dot"" in column ""FORMULA"""		Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium granii			(Ostenfeld) Balech 1974	110223	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110223	HT	(cone + half sphere)-20%	?/12*d^2*(h+d/2)*0.8	1			cell	23-27x35				35	25		1	6214,583333			787,893711		"Correction of the decimal separator from ""comma"" to ""dot"" in column ""FORMULA"""		Species	
PEG_BVOL2023	x		DINOPHYTA (PYRROPHYTA)	Dinophyceae	PERIDINIALES	Protoperidinium	Protoperidinium granii			(Ostenfeld) Balech 1974	110223	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110223	HT	(cone + half sphere)-20%	?/12*d^2*(h+d/2)*0.8	2			cell	28-30x37				37	29		1	9066,540667			1123,288795		"Correction of the decimal separator from ""comma"" to ""dot"" in column ""FORMULA"""		Species	
