taxon_id	ncbi_id	url
178207	240364	www.ebi.ac.uk/ena/browser/view/240364
178437	1973486	www.ebi.ac.uk/ena/browser/view/1973486
178441	54300	www.ebi.ac.uk/ena/browser/view/54300
178456	322865	www.ebi.ac.uk/ena/browser/view/322865
178464	119532	www.ebi.ac.uk/ena/browser/view/119532
178477	114805	www.ebi.ac.uk/ena/browser/view/114805
178482	53401	www.ebi.ac.uk/ena/browser/view/53401
178510	105591	www.ebi.ac.uk/ena/browser/view/105591
178513	207924	www.ebi.ac.uk/ena/browser/view/207924
178582	96907	www.ebi.ac.uk/ena/browser/view/96907
178583	3052	www.ebi.ac.uk/ena/browser/view/3052
178587	1543968	www.ebi.ac.uk/ena/browser/view/1543968
178589	3044	www.ebi.ac.uk/ena/browser/view/3044
178590	3047	www.ebi.ac.uk/ena/browser/view/3047
178593	420616	www.ebi.ac.uk/ena/browser/view/420616
178594	2991	www.ebi.ac.uk/ena/browser/view/2991
178595	52557	www.ebi.ac.uk/ena/browser/view/52557
178597	418933	www.ebi.ac.uk/ena/browser/view/418933
178598	97491	www.ebi.ac.uk/ena/browser/view/97491
178600	97492	www.ebi.ac.uk/ena/browser/view/97492
178609	202678	www.ebi.ac.uk/ena/browser/view/202678
178610	202679	www.ebi.ac.uk/ena/browser/view/202679
178611	120746	www.ebi.ac.uk/ena/browser/view/120746
178613	1244685	www.ebi.ac.uk/ena/browser/view/1244685
178617	1169106	www.ebi.ac.uk/ena/browser/view/1169106
178623	247496	www.ebi.ac.uk/ena/browser/view/247496
178625	745283	www.ebi.ac.uk/ena/browser/view/745283
178628	236787	www.ebi.ac.uk/ena/browser/view/236787
178734	52027	www.ebi.ac.uk/ena/browser/view/52027
178825	513284	www.ebi.ac.uk/ena/browser/view/513284
178924	256023	www.ebi.ac.uk/ena/browser/view/256023
178928	292727	www.ebi.ac.uk/ena/browser/view/292727
178930	1461598	www.ebi.ac.uk/ena/browser/view/1461598
178936	402398	www.ebi.ac.uk/ena/browser/view/402398
178938	1970658	www.ebi.ac.uk/ena/browser/view/1970658
178941	1913059	www.ebi.ac.uk/ena/browser/view/1913059
178946	82290	www.ebi.ac.uk/ena/browser/view/82290
178948	82291	www.ebi.ac.uk/ena/browser/view/82291
178949	302392	www.ebi.ac.uk/ena/browser/view/302392
178956	302393	www.ebi.ac.uk/ena/browser/view/302393
178957	425068	www.ebi.ac.uk/ena/browser/view/425068
178962	2782530	www.ebi.ac.uk/ena/browser/view/2782530
178972	3046	www.ebi.ac.uk/ena/browser/view/3046
178973	3051	www.ebi.ac.uk/ena/browser/view/3051
178990	451788	www.ebi.ac.uk/ena/browser/view/451788
179048	204509	www.ebi.ac.uk/ena/browser/view/204509
179049	3146	www.ebi.ac.uk/ena/browser/view/3146
179052	37389	www.ebi.ac.uk/ena/browser/view/37389
179053	77624	www.ebi.ac.uk/ena/browser/view/77624
179232	97221	www.ebi.ac.uk/ena/browser/view/97221
179285	449143	www.ebi.ac.uk/ena/browser/view/449143
179320	283646	www.ebi.ac.uk/ena/browser/view/283646
179360	2948613	www.ebi.ac.uk/ena/browser/view/2948613
179484	431339	www.ebi.ac.uk/ena/browser/view/431339
179596	216773	www.ebi.ac.uk/ena/browser/view/216773
179688	1334933	www.ebi.ac.uk/ena/browser/view/1334933
179786	1334934	www.ebi.ac.uk/ena/browser/view/1334934
180071	2576608	www.ebi.ac.uk/ena/browser/view/2576608
180075	1003052	www.ebi.ac.uk/ena/browser/view/1003052
180108	1458866	www.ebi.ac.uk/ena/browser/view/1458866
180112	196639	www.ebi.ac.uk/ena/browser/view/196639
180191	432268	www.ebi.ac.uk/ena/browser/view/432268
180273	1223578	www.ebi.ac.uk/ena/browser/view/1223578
180295	2681681	www.ebi.ac.uk/ena/browser/view/2681681
180341	2927904	www.ebi.ac.uk/ena/browser/view/2927904
180357	1561709	www.ebi.ac.uk/ena/browser/view/1561709
180367	1954219	www.ebi.ac.uk/ena/browser/view/1954219
180390	216724	www.ebi.ac.uk/ena/browser/view/216724
180422	265540	www.ebi.ac.uk/ena/browser/view/265540
182742	91054	www.ebi.ac.uk/ena/browser/view/91054
183533	182088	www.ebi.ac.uk/ena/browser/view/182088
183543	182089	www.ebi.ac.uk/ena/browser/view/182089
183554	1925330	www.ebi.ac.uk/ena/browser/view/1925330
183555	2066032	www.ebi.ac.uk/ena/browser/view/2066032
183566	513280	www.ebi.ac.uk/ena/browser/view/513280
18526	3042	www.ebi.ac.uk/ena/browser/view/3042
18537	31305	www.ebi.ac.uk/ena/browser/view/31305
18608	31299	www.ebi.ac.uk/ena/browser/view/31299
18815	3134	www.ebi.ac.uk/ena/browser/view/3134
19539	2704141	www.ebi.ac.uk/ena/browser/view/2704141
19542	2864	www.ebi.ac.uk/ena/browser/view/2864
196191	1890431	www.ebi.ac.uk/ena/browser/view/1890431
196206	211020	www.ebi.ac.uk/ena/browser/view/211020
196207	1050073	www.ebi.ac.uk/ena/browser/view/1050073
196245	1182	www.ebi.ac.uk/ena/browser/view/1182
196248	2682557	www.ebi.ac.uk/ena/browser/view/2682557
196803	2022333	www.ebi.ac.uk/ena/browser/view/2022333
196815	216766	www.ebi.ac.uk/ena/browser/view/216766
196828	1129380	www.ebi.ac.uk/ena/browser/view/1129380
196833	513213	www.ebi.ac.uk/ena/browser/view/513213
196834	513214	www.ebi.ac.uk/ena/browser/view/513214
196836	1925418	www.ebi.ac.uk/ena/browser/view/1925418
196837	2419807	www.ebi.ac.uk/ena/browser/view/2419807
196838	1050074	www.ebi.ac.uk/ena/browser/view/1050074
197011	2926996	www.ebi.ac.uk/ena/browser/view/2926996
204197	211021	www.ebi.ac.uk/ena/browser/view/211021
204228	217161	www.ebi.ac.uk/ena/browser/view/217161
204944	483695	www.ebi.ac.uk/ena/browser/view/483695
206148	153903	www.ebi.ac.uk/ena/browser/view/153903
206253	1203	www.ebi.ac.uk/ena/browser/view/1203
206450	2836380	www.ebi.ac.uk/ena/browser/view/2836380
20997	589342	www.ebi.ac.uk/ena/browser/view/589342
20998	589345	www.ebi.ac.uk/ena/browser/view/589345
20999	589344	www.ebi.ac.uk/ena/browser/view/589344
21000	86650	www.ebi.ac.uk/ena/browser/view/86650
21001	1131320	www.ebi.ac.uk/ena/browser/view/1131320
21004	35427	www.ebi.ac.uk/ena/browser/view/35427
211897	71191	www.ebi.ac.uk/ena/browser/view/71191
21237	31337	www.ebi.ac.uk/ena/browser/view/31337
21243	578868	www.ebi.ac.uk/ena/browser/view/578868
213688	2153196	www.ebi.ac.uk/ena/browser/view/2153196
213700	1616834	www.ebi.ac.uk/ena/browser/view/1616834
213728	118562	www.ebi.ac.uk/ena/browser/view/118562
213742	1205931	www.ebi.ac.uk/ena/browser/view/1205931
213753	188911	www.ebi.ac.uk/ena/browser/view/188911
214368	153904	www.ebi.ac.uk/ena/browser/view/153904
21621	1131318	www.ebi.ac.uk/ena/browser/view/1131318
21627	2974	www.ebi.ac.uk/ena/browser/view/2974
22154	4762	www.ebi.ac.uk/ena/browser/view/4762
22155	4763	www.ebi.ac.uk/ena/browser/view/4763
22557	5712	www.ebi.ac.uk/ena/browser/view/5712
22563	181619	www.ebi.ac.uk/ena/browser/view/181619
22564	141412	www.ebi.ac.uk/ena/browser/view/141412
22574	238883	www.ebi.ac.uk/ena/browser/view/238883
22577	2897	www.ebi.ac.uk/ena/browser/view/2897
22582	589343	www.ebi.ac.uk/ena/browser/view/589343
22613	41878	www.ebi.ac.uk/ena/browser/view/41878
22970	3172	www.ebi.ac.uk/ena/browser/view/3172
22976	142645	www.ebi.ac.uk/ena/browser/view/142645
22978	86882	www.ebi.ac.uk/ena/browser/view/86882
231772	47932	www.ebi.ac.uk/ena/browser/view/47932
231787	143671	www.ebi.ac.uk/ena/browser/view/143671
231788	1052865	www.ebi.ac.uk/ena/browser/view/1052865
231788	156229	www.ebi.ac.uk/ena/browser/view/156229
231789	157684	www.ebi.ac.uk/ena/browser/view/157684
231794	651421	www.ebi.ac.uk/ena/browser/view/651421
231796	1123714	www.ebi.ac.uk/ena/browser/view/1123714
231799	160620	www.ebi.ac.uk/ena/browser/view/160620
231800	66802	www.ebi.ac.uk/ena/browser/view/66802
231803	106536	www.ebi.ac.uk/ena/browser/view/106536
231805	388231	www.ebi.ac.uk/ena/browser/view/388231
231806	210731	www.ebi.ac.uk/ena/browser/view/210731
231809	210732	www.ebi.ac.uk/ena/browser/view/210732
231814	33835	www.ebi.ac.uk/ena/browser/view/33835
231873	2925	www.ebi.ac.uk/ena/browser/view/2925
