taxon_id	species	hab_effect	scientific_name	authority	link
NA	Pseudochattonella verruculosa	Fish killer	Pseudochattonella verruculosa	(Y.Hara & M.Chihara) S.Tanabe-Hosoi, D.Honda, S.Fukaya, Y.Inagaki & Y.Sako, 2007	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=531446
NA	Anagnostidinema amphibium	Cyano toxins	Anagnostidinema amphibium	(C.Agardh ex Gomont) Strunecký, Bohunická, J.R.Johansen & J.Komárek, 2017	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=1313613
NA	Aphanizomenon flosaquae	Cyano toxins	Aphanizomenon flosaquae	Ralfs ex Bornet & Flahault, 1886	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=609460
NA	Coelosphaerium kuetzingianum	Cyano toxins	Coelosphaerium kuetzingianum	Nägeli, 1849	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=177100
NA	Dolichospermum flosaquae	Cyano toxins	Dolichospermum flosaquae	(Brébisson ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=623803
NA	Dolichospermum lemmermannii	Cyano toxins	Dolichospermum lemmermannii	(Richter) P.Wacklin, L.Hoffmann & J.Komárek, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625374
NA	Dolichospermum macrosporum	Cyano toxins	Dolichospermum macrosporum	(Klebhan) Wacklin, L.Hoffmann & Komárek, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625403
NA	Dolichospermum planctonicum	Cyano toxins	Dolichospermum planctonicum	(Brunnthaler) Wacklin, L.Hoffmann & Komárek, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625407
NA	Dolichospermum sigmoideum	Cyano toxins	Dolichospermum sigmoideum	(Nygaard) Wacklin, L.Hoffmann & Komárek, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625408
NA	Dolichospermum spiroides	Cyano toxins	Dolichospermum spiroides	(Klebhan) Wacklin, L.Hoffmann & Komárek, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625411
NA	Gloeotrichia echinulata	Cyano toxins	Gloeotrichia echinulata	P.G.Richter, 1894	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=409630
NA	Limnothrix redekei	Cyano toxins	Limnothrix redekei	(Goor) Meffert, 1988	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=177508
NA	Microcystis aeruginosa	Cyano toxins	Microcystis aeruginosa	(Kützing) Kützing, 1846	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146558
NA	Microcystis flosaquae	Cyano toxins	Microcystis flosaquae	(Wittrock) Kirchner, 1898	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=699375
NA	Microcystis ichthyoblabe	Cyano toxins	Microcystis ichthyoblabe	(G.Kunze) Kützing, 1843	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=177245
NA	Microcystis wesenbergii	Cyano toxins	Microcystis wesenbergii	(Komárek) Komárek ex Komárek, 2006	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146561
NA	Microcystis viridis	Cyano toxins	Microcystis viridis	(A.Braun) Lemmermann, 1903	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=177400
NA	Nodularia spumigena	Cyano toxins	Nodularia spumigena	Mertens ex Bornet & Flahault, 1888	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160566
NA	Planktothrix agardhii	Cyano toxins	Planktothrix agardhii	(Gomont) Anagnostidis & Komárek, 1988	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146552
NA	Snowella lacustris	Cyano toxins	Snowella lacustris	(Chodat) Komárek & Hindák, 1988	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146645
