scientific_name	dyntaxa_id	author	valid_name	taxon_id
Tribonema taeniatum	263161	Pascher	Tribonema taeniatum	653179
Trigonomonas tortuosa	257044	Skuja	Trigonomonas tortuosa	653893
Navicula umbra	262930	M.H.Hohn & Hellerman	Navicula umbra	654677
Oedogonium upsaliense	258225	Wittr.	Oedogonium upsaliense	654835
Oedogonium varians	258226	Wittr. & P. Lundell	Oedogonium varians	655084
Oedogonium vaucheri	258227	(Le Clerk) A.Braun ex Hirn	Oedogonium vaucheri	655137
Willea vilhelmii	257497	(Fott) Komárek	Willea vilhelmii	655463
Gloeotila curta	257543	Skuja	Gloeotila curta	656130
Mougeotia robusta	262226	(de Bary) Wittr.	Mougeotia robusta	656139
Spirogyra lagerheimii	262268	Wittr.	Spirogyra lagerheimii	656140
Cryptomonas reflexa	257585	Skuja	Cryptomonas reflexa	656212
Chromulina dalecarlica	257780	Skuja	Chromulina dalecarlica	656213
Chromulina vestita	263176	J.Schiller	Chromulina vestita	656215
Kephyrion hemisphaericum	237052	(Lackey) W.Conrad	Kephyriopsis hemisphaericum	656218
Chlorella salina	238932	Butcher	Chlorella salina	656278
Karayevia suchlandtii	237789	(Hust.) Bukht.	Karayevia suchlandtii	656297
Planothidium hauckianum	263007	(Grunow) Bukht.	Planothidium hauckianum	656299
Pseudostaurastrum gracile	237143	(Reinsch) Chodat	Tetraedron gracile	656319
Vaucheria dillwynii	263217	(F.Weber & D.Mohr) C.Agardh	Vaucheria dillwynii	656435
Cyclotella polymorpha	262479	Barb.Mey. & Håk.	Pantocsekiella polymorpha	656941
Kirchneriella major	257507	C.Bernard	Kirchneriella major	657414
Nodularia baltica	236922	Komárek, Hübel, M.Hübel & Smarda	Nodularia baltica	657648
Oscillatoria quasiperforata	263490	Skuja	Oscillatoria quasiperforata	657702
Pleurosigma tenuiforme	263307	C.H. von Quillfeldt	Pleurosigma tenuiforme	657881
Oscillatoria putrida	263489	Schmidle	Oscillatoria putrida	658557
Bicosoeca socialis	263337	Lauterborn, nom. illeg.	Bicosoeca socialis	659898
Aphanizomenon yezoense	236935	M.Watan.	Aphanizomenon yezoense	659901
Spirulina subsalsa	236152	Oerst. ex Gomont	Spirulina subsalsa	660753
Lyngbya majuscula	236741	Harv. ex Gomont	Lyngbya majuscula	660754
Lyngbya martensiana	263481	Menegh. ex Gomont	Lyngbya martensiana	660913
Trichodesmium erythraeum	236766	Ehrenb. ex Gomont	Trichodesmium erythraeum	660919
Oscillatoria bonnemaisonii	236743	(P.Crouan & H.Crouan) P.Crouan & H.Crouan	Oscillatoria bonnemaisonii	660921
Oscillatoria curviceps	236745	C.Agardh ex Gomont	Oscillatoria curviceps	660923
Spirulina major	236150	Kütz. ex Gomont	Spirulina major	660933
Phormidium corium	263525	Gomont	Phormidium corium	660946
Symploca muscorum	263549	Gomont ex Gomont	Symploca muscorum	660964
Phormidium uncinatum	263541	Gomont ex Gomont	Phormidium uncinatum	661044
Fusola viridis	238740	J.Snow	Fusola viridis	661077
Ulothrix oscillarina	263365	Kütz.	Ulothrix oscillarina	661104
Onychonema filiforme	262238	(Ehrenb. ex Ralfs) J.Roy & Bisset	Onychonema filiforme	661117
Staurastrum lanceolatum	6325826	W.Archer	Staurastrum lanceolatum	661130
Staurodesmus mamillatus	257410	(Nordst.) Teiling	Staurodesmus cuspidatus	661136
Chroomonas nordstedtii	257591	Hansg.	Chroomonas nordstedtii	661151
Nostoc caeruleum	234977	Lyngbye ex Bornet & Flahault	Nostoc caeruleum	661154
Nostoc calcicola	232914	Bréb. ex Bornet & Flahault	Nostoc calcicola	661155
Nostoc linckia	234982	Bornet ex Bornet & Flahault	Nostoc linckia	661156
Nostoc minutissimum	234985	Kütz. ex Bornet & Flahault	Nostoc minutissimum	661157
Arthrospira jenneri	236752	Stizenb. ex Gomont	Arthrospira jenneri	661162
Stigonema informe	263717	Kütz. ex Bornet & Flahault	Stigonema informe	661180
Navicula cohnii	262319	(Hilse) Lange-Bert.	Luticola cohnii	661246
Navicula viridula	237605	(Kütz.) Ehrenb.	Navicula viridula	661256
Neidium alpinum	262947	Hust.	Neidium alpinum	661261
Gyrosigma attenuatum	237635	(Kütz.) Rabenh.	Gyrosigma attenuatum	661267
Tabellaria ventricosa	262375	Kütz.	Tabellaria ventricosa	661273
Vaucheria uncinata	263206	Kütz.	Vaucheria uncinata	661279
Gymnodinium inversum	257874	Nygaard	Gymnodinium inversum	661333
Achnanthes hintzii	262187	Lange-Bert. & Krammer	Psammothidium semiapertum	661346
Fragilaria neoproducta	262687	Lange-Bert.	Fragilaria neoproducta	661357
Navicula tantula	262898	Hust.	Sellaphora atomoides	661383
Pinnularia silvatica	263092	J.B.Petersen	Pinnularia silvatica	661397
Planothidium calcar	263014	(Cleve) Round & Bukht.	Gliwiczia calcar	661398
Planothidium rostratum	237787	(Østrup) Lange-Bert.	Planothidium rostratum	661400
Synedra tenera	256821	W.Sm.	Fragilaria tenera	661409
Klebsormidium rivulare	232857	(Kütz.) M.O.Morison & Sheath	Ulothrix implexa	661431
Eunotia ruzickae	262644	Bily & Marvan	Eunotia ruzickae	661517
Haematococcus lacustris	257552	(Girod-Chantrans) Rostafinski	Haematococcus lacustris	661559
Franceia elongata	257086	Korshikov	Franceia elongata	661589
Staurastrum pachyrhynchum	263330	Nordst.	Staurastrum pachyrhynchum	661691
Amphicampa hemicyclus	256773	(Ehrenb.) G.Karst.	Amphicampa hemicyclus	661777
Gyrosigma kuetzingii	256776	(Grunow) Cleve-Euler	Gyrosigma kuetzingii	661891
Pinnularia integra	262340	W.Sm	Prestauroneis integra	662000
Achnanthidium exiguum	237770	(Grunow) Czarn.	Achnanthidium exiguum	662108
Hantzschia abundans	262812	Lange-Bert.	Hantzschia abundans	662359
Nitzschia divergens	262977	Hust.	Nitzschia divergens	662561
Amphora oligotraphenta	262418	Lange-Bert.	Halamphora oligotraphenta	662800
Fragilaria arcus	262670	(Ehrenb.) Cleve	Hannaea arcus	662809
Hapalosiphon pumilus	263709	Kirchner ex Bornet & Flahault	Hapalosiphon pumilus	662957
Nephrochlamys subsolitaria	238863	(G.S. West) Korshikov	Nephrochlamys rostrata	663025
Protodinium simplex	238354	Lohmann	Protodinium simplex	663583
Phytodinium globosum	257905	Pascher	Phytodinium simplex	663914
Eolimna minima	262898	p.p., s. auct.	Sellaphora atomoides	665106
Craticula molestiformis	262469	(Hust.) Lange-Bert.	Craticula molestiformis	665148
Eolimna subminuscula	262581	(Manguin) Moser, Lange-Bert. & Metzeltin	Craticula subminuscula	665154
Fragilaria delicatissima	256820	(W.Sm.) Lange-Bert.	Fragilaria delicatissima	665157
Fragilaria polonica	262690	Witak & Lange-Bert. in Witkowski, Lange-Bert. & Witak	Fragilaria polonica	665160
Fragilaria quadrata	262691	(Hust.) Lange-Bert. & Metzeltin	Fragilaria quadrata	665161
Staurosira berolinensis	262708	(Lemmerm.) Lange-Bert.	Belonastrum berolinense	665170
Phormidium tinctorium	263540	Kütz. ex Gomont	Phormidium tinctorium	665181
Hassallia pulvinata	263695	Frémy	Hassallia pulvinata	665267
Spirulina rosea	263596	P.Crouan & H.Crouan ex Gomont	Spirulina rosea	665308
Oscillatoria rupicola	263491	Hansg. ex Gomont	Oscillatoria rupicola	665345
Oscillatoria major	263486	Vaucher ex Forti	Oscillatoria major	665981
Fragilaria capitellata	262674	(Grunow) J.B.Petersen	Fragilaria recapitellata	667263
Crucigeniella lunaris	238802	Lemmermann, 1900	Crucigeniella lunaris	667720
Puncticulata radiosa	237238	(Grunow) Håk.	Lindavia radiosa	667998
Naviculadicta vitabunda	262933	(Hust.) Lange-Bert.	Sellaphora vitabunda	668398
Platessa conspicua	237767	(Ant.Mayer) Lange-Bert.	Platessa conspicua	668407
Staurosira venter	248619	(Ehrenb.) H.Kobayasi	Staurosira venter	668408
Monoraphidium subclavatum	257509	Nygaard	Monoraphidium subclavatum	668538
Fallacia subhamulata	237664	(Grunow) D.G.Mann in Round & al.	Fallacia subhamulata	669021
Stauroneis spicula	262889	Hickie	Haslea spicula	669081
Pinnularia gibba	237619	(Ehrenb.) Ehrenb	Pinnularia gibba	669209
Pinnularia irrorata	263126	(Grunow) Hust.	Pinnularia irrorata	669356
Staurastrum pilosum	238689	Bréb.	Staurastrum pilosum	669377
Planothidium lanceolatum	237774	(Bréb. ex Kütz.) Lange-Bert.	Planothidium lanceolatum	669893
Prymnesium polylepis	236995	(Manton & Parke) Edvardsen & al.	Prymnesium polylepis	670030
Psammothidium didymum	262929	(Hust.) Bukht. & Round	Psammothidium didymum	670163
Psammothidium marginulatum	262891	(Grunow) Bukht. & Round	Psammothidium marginulatum	670164
Oedogonium paludosum	258197	(Hass.) Wittr.	Oedogonium paludosum	670244
Gomphonema subclavatum	262795	Grunow	Gomphonema subclavatum	670269
Pediastrum duplex var. rugulosum	257073	Racib.	Pediastrum duplex var. rugulosum	670534
Coleochaete divergens var. minor	262160	Hansg.	Coleochaete divergens var. minor	670615
Closterium acutum var. linea	263185	(Perty) West & G.S.West	Closterium acutum var. linea	670626
Closterium acutum var. variabile	248654	(Lemmerm.) Willi Krieg.	Closterium acutum var. variabile	670627
Closterium dianae var. arcuatum	256844	(Ralfs) Rabenh.	Closterium dianae var. arcuatum	670635
Closterium ralfsii var. hybridum	256860	Rabenh.	Closterium ralfsii var. hybridum	670662
Cosmarium contractum var. ellipsoideum	257405	(Elfving) West & G.S.West	Cosmarium contractum var. ellipsoideum	670688
Cosmarium depressum var. planctonicum	256879	Reverdin	Cosmarium neodepressum var. planctonicum	670699
Cosmarium punctulatum var. subpunctulatum	256886	(Nordst.) Børgesen	Cosmarium punctulatum var. subpunctulatum	670740
Hyalotheca dissiliens var. hians	262191	Wolle	Hyalotheca dissiliens var. hians	670871
Hyalotheca dissiliens var. tatrica	262192	Racib.	Hyalotheca dissiliens var. tatrica	670872
Staurastrum longipes var. contractum	256961	Teiling	Staurastrum longipes var. contractum	670983
Staurodesmus mamillatus var. maximus	257005	(W. West) Teiling	Staurodesmus cuspidatus var. maximus	671051
Teilingia excavata var. subquadrata	262289	(West & G.S.West) F.Stein	Teilingia excavata var. subquadrata	671061
Phacus monilatus var. suecicus	263294	Lemmerm.	Phacus monilatus var. suecicus	671164
Trachelomonas armata var. longa	257735	Deflandre	Trachelomonas armata var. longa	671172
Trachelomonas armata var. steinii	257736	Lemmerm.	Trachelomonas armata var. steinii	671175
Trachelomonas hispida var. coronata	257745	Lemmerm.	Trachelomonas hispida var. coronata	671198
Eunotia muscicola var. tridentula	262626	Nörpel & Lange-Bert.	Eunotia paratridentula	671293
Gomphonema augur var. gautieri	262738	Van Heurck	Gomphonema gautieri	671308
Navicula viridula var. linearis	262909	Hust.	Navicula viridula var. linearis	671332
Pinnularia divergentissima var. minor	263139	Krammer	Pinnularia divergentissima var. minor	671342
Pinnularia subcapitata var. elongata	263086	Krammer	Pinnularia subcapitata var. elongata	671349
Pinnularia subcapitata var. subrostrata	263087	Krammer	Pinnularia subcapitata var. subrostrata	671350
Dinobryon divergens var. schauinslandii	257809	(Lemmerm.) Brunnth.	Dinobryon divergens var. schauinslandii	671381
Epipyxis utriculus var. acuta	257828	J. Schiller	Epipyxis utriculus var. acuta	671384
Epipyxis lauterbornii var. mucicola	257829	(Lemmerm.) D.K. Hilliard & Asmund	Epipyxis lauterbornii var. mucicola	671399
Craticula riparia var. mollenhaueri	262472	Lange-Bert.	Craticula riparia var. mollenhaueri	671416
Gomphonema exiguum var. minutissimum	262755	Grunow	Gomphonema exiguum var. minutissimum	671437
Navicula arvensis var. major	262310	Lange-Bert.	Sellaphora cosmopolitana	671443
Nitzschia linearis var. tenuis	263019	(W.Sm.) Grunow	Nitzschia tenuis	671467
Nitzschia palea var. tenuirostris	263025	Grunow	Nitzschia palea var. tenuirostris	671470
Pinnularia divergens var. sublinearis	263144	Cleve	Pinnularia divergens var. sublinearis	671477
Staurosira construens var. exigua	262706	(W.Sm.) H.Kobayasi	Staurosira construens var. exigua	671497
Staurosirella pinnata var. intercedens	262421	(Grunow) P.B. Hamilton	Staurosirella pinnata var. intercedens	671499
Surirella brebissonii var. punctata	262402	Krammer	Surirella brebissonii var. punctata	671501
Surirella brebissonii var. kuetzingii	262401	Krammer & Lange-Bert.	Surirella brebissonii var. kuetzingii	671502
Closterium littorale var. crassum	257402	West & G.S.West	Closterium littorale var. crassum	671540
Closterium nordstedtii var. polystictum	257400	(Nygaard) Ruzicka	Closterium nordstedtii var. polystichum	671543
Desmidium aptogonum var. ehrenbergii	262176	Kütz.	Desmidium aptogonum var. ehrenbergii	671660
Desmidium swartzii var. amblyodon	262184	(Itzigs.) Rabenh.	Desmidium swartzii var. amblyodon	671661
Euastrum humerosum var. affine	256902	(Ralfs) Racib.	Euastrum humerosum var. affine	671676
Staurastrum arachne var. curvatum	256930	Ralfs	Staurastrum arachne var. curvatum	671698
Staurastrum cingulum var. obesum	257409	NA	Staurastrum cingulum var. obesum	671703
Teilingia wallichii var. anglica	262291	(West & G.S.West) Kurt Först.	Teilingia wallichii var. anglica	671719
Xanthidium subhastiferum var. murrayi	257026	W. & G.S. West	Xanthidium subhastiferum var. murrayi	671729
Eunotia parallela var. angusta	262587	Grunow	Eunotia angusta	671735
Eunotia exigua var. tenella	237951	(Grunow) Nörpel & Alles	Eunotia tenella	671739
Surirella linearis var. helvetica	262398	(Brun) F.Meister	Surirella linearis var. helvetica	671752
Achnanthes exigua var. elliptica	262183	Hust.	Achnanthidium exiguum var. elliptica	671766
Nitzschia fonticola var. pelagica	262986	Hust.	Nitzschia fonticola var. pelagica	671854
Surirella linearis var. linearis	262397	W.Sm.	Surirella linearis var. linearis	671902
Desmodesmus armatus var. bicaudatus	248650	(Guglielm.) E.Hegewald	Desmodesmus armatus var. bicaudatus	672032
Desmodesmus denticulatus var. linearis	248647	(Hansg.) E.Hegewald	Desmodesmus denticulatus var. linearis	672034
Desmodesmus opoliensis var. carinatus	257460	(Lemmerm.) E.Hegewald	Desmodesmus opoliensis var. carinatus	672037
Mayamaea fossalis var. obsidialis	262842	(Hust.) Lange-Bert.	Mayamaea fossalis var. obsidialis	672122
Pinnularia subgibba var. undulata	263080	Krammer	Pinnularia subgibba var. undulata	672225
Hyalotheca mucosa var. minor	262198	J.Roy & Bisset	Hyalotheca mucosa var. minor	672443
Trachelomonas lacustris var. ovalis	257748	Drezep.	Trachelomonas lacustris var. ovalis	672626
Trachelomonas hispida var. crenulatocollis	257747	(Maskell) Lemmerm.	Trachelomonas hispida var. crenulatocollis	672635
Trachelomonas hispida var. caudata	257743	Lemmerm.	Trachelomonas hispida var. caudata	672639
Staurodesmus megacanthus var. scoticus	257007	(W. & G.S. West) S. Lill.	Staurodesmus megacanthus var. scoticus	672821
Mesotaenium chlamydosporum var. violascens	262201	(de Bary) Willi Krieg.	Mesotaenium chlamydosporum var. violascens	672919
Cymbella proxima var. borealis	262500	Krammer	Cymbella proxima var. borealis	672960
Navicula vandamii var. mertensiae	262907	Lange-Bert.	Navicula vandamii var. mertensiae	672970
Pinnularia lundii var. linearis	263118	Krammer	Pinnularia lundii var. linearis	672988
Pinnularia nodosa var. percapitata	263109	Krammer	Pinnularia nodosa var. percapitata	672995
Pinnularia tirolensis var. julma	263067	Krammer	Pinnularia tirolensis var. julma	673016
Pappomonas flabellifera var. borealis	263286	Manton, J.Sutherl. & McCully	Pappomonas flabellifera var. borealis	673137
Staurodesmus extensus var. joshuae	256996	(Gutw.) Teiling	Staurodesmus extensus var. joshuae	673168
Staurodesmus glaber var. limnophilus	256998	Teiling	Staurodesmus glaber var. limnophilus	673169
Staurastrum planctonicum var. bullosum	256972	Teiling	Staurastrum bulbosum	673228
Spondylosium pulchellum var. bambusinoides	262245	(Wittr.) P.Lundell	Spondylosium pulchellum var. bambusinoides	673233
Xanthidium antilopaeum var. dimazum	257021	Nordst.	Xanthidium antilopaeum var. dimazum	673380
Staurodesmus extensus var. isthmosus	263335	(Heimerl) Coesel	Staurodesmus extensus var. isthmosus	673515
Staurastrum paradoxum var. parvum	256970	W. West	Staurastrum paradoxum var. parvum	673660
