scientific_name	rank	aphia_id	parent_name	parent_id	authority	status	kingdom	phylum	class	order	family	genus	classification
Lohmanniella oviformis	Species	101209	Lohmanniella	101180	Leegaard, 1915	accepted	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Lohmanniellidae	Lohmanniella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Lohmanniellina - [Family] Lohmanniellidae - [Genus] Lohmanniella - [Species] Lohmanniella oviformis
Pelagostrobilidium spirale	Species	341692	Pelagostrobilidium	101182	(Leegaard, 1915) Petz, Song & Wilbert, 1995	accepted	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Strobilidiidae	Pelagostrobilidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Strobilidiina - [Family] Strobilidiidae - [Genus] Pelagostrobilidium - [Species] Pelagostrobilidium spirale
Laboea strobila	Species	101264	Laboea	101190	Lohmann, 1908	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Laboea	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Tontoniidae - [Genus] Laboea - [Species] Laboea strobila
Bicosoeca	Genus	103987	Bicosoecaceae	22574	H.J.Clark, 1868	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca
Bicosoeca gracilipes	Species	103996	Bicosoeca	103987	H.J.Clark, 1868	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca gracilipes
Pseudobodo tremulans	Species	104015	Pseudobodo	103990	Griessmann, 1913	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Cafeteriaceae	Pseudobodo	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Cafeteriaceae - [Genus] Pseudobodo - [Species] Pseudobodo tremulans
Acanthocorbis unguiculata	Species	105546	Acanthocorbis	105501	(Thomsen) Hara & Takahashi, 1984	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Acanthocorbis	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Acanthocorbis - [Species] Acanthocorbis unguiculata
Bicosta antennigera	Species	105556	Bicosta	105505	Moestrup, 1979	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Bicosta	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Bicosta - [Species] Bicosta antennigera
Bicosta minor	Species	105557	Bicosta	105505	(Reynolds) Leadbeater, 1978	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Bicosta	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Bicosta - [Species] Bicosta minor
Bicosta spinifera	Species	105558	Bicosta	105505	(Throndsen) Leadbeater, 1978	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Bicosta	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Bicosta - [Species] Bicosta spinifera
Calliacantha longicaudata	Species	105559	Calliacantha	105506	(Leadbeater) Leadbeater, 1978	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Calliacantha	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Nudiform] - [Genus] Calliacantha - [Species] Calliacantha longicaudata
Calliacantha natans	Species	105561	Calliacantha	105506	(Grøntved) Leadbeater, 1978	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Calliacantha	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Nudiform] - [Genus] Calliacantha - [Species] Calliacantha natans
Calliacantha simplex	Species	105562	Calliacantha	105506	Manton & Oates, 1979	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Calliacantha	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Nudiform] - [Genus] Calliacantha - [Species] Calliacantha simplex
Cosmoeca ventricosa	Species	105568	Cosmoeca	105510	Thomsen, 1984	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Cosmoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Cosmoeca - [Species] Cosmoeca ventricosa
Crinolina isefiordensis	Species	105569	Crinolina	105511	Thomsen, 1976	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Crinolina	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Crinolina - [Species] Crinolina isefiordensis
Diaphanoeca grandis	Species	105571	Diaphanoeca	105513	Ellis, 1930	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Diaphanoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Diaphanoeca - [Species] Diaphanoeca grandis
Diaphanoeca pedicellata	Species	105573	Diaphanoeca	105513	Leadbeater, 1972	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Diaphanoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Diaphanoeca - [Species] Diaphanoeca pedicellata
Diaphanoeca sphaerica	Species	105574	Diaphanoeca	105513	Thomsen, 1982	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Diaphanoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Diaphanoeca - [Species] Diaphanoeca sphaerica
		843863	Aulacoseira	148959		quarantined							
Parvicorbicula socialis	Species	105588	Parvicorbicula	105518	(Meunier) Deflandre, 1960	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Parvicorbicula	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Parvicorbicula - [Species] Parvicorbicula socialis
Parvicorbicula superpositus	Species	105590	Parvicorbicula	105518	Booth, 1990	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Parvicorbicula	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Parvicorbicula - [Species] Parvicorbicula superpositus
Pleurasiga minima	Species	105598	Pleurasiga	105520	Throndsen, 1970	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Pleurasiga	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Pleurasiga - [Species] Pleurasiga minima
Stephanoeca diplocostata	Species	105623	Stephanoeca	105529	W.N.Ellis, 1930	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Stephanoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Stephanoeca - [Species] Stephanoeca diplocostata
Monosiga marina	Species	105643	Monosiga	105535	Grøntved, 1952	accepted	Protozoa	Choanozoa	Choanoflagellatea	Craspedida	Codonosigaceae	Monosiga	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Craspedida - [Family] Codonosigaceae - [Genus] Monosiga - [Species] Monosiga marina
Chroomonas	Genus	106281	Hemiselmidaceae	17641	Hansgirg, 1885	accepted	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Hemiselmidaceae	Chroomonas	[] Biota - [Kingdom] Chromista - [Subkingdom] Hacrobia - [Phylum] Cryptophyta - [Class] Cryptophyceae - [Order] Cryptomonadales - [Family] Hemiselmidaceae - [Genus] Chroomonas
Cryptomonas	Genus	106282	Cryptomonadaceae	17644	Ehrenberg, 1831	accepted	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	[] Biota - [Kingdom] Chromista - [Subkingdom] Hacrobia - [Phylum] Cryptophyta - [Class] Cryptophyceae - [Order] Cryptomonadales - [Family] Cryptomonadaceae - [Genus] Cryptomonas
Hemiselmis	Genus	106287	Chroomonadaceae	20998	Parke, 1949	accepted	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Chroomonadaceae	Hemiselmis	[] Biota - [Kingdom] Chromista - [Subkingdom] Hacrobia - [Phylum] Cryptophyta - [Class] Cryptophyceae - [Order] Pyrenomonadales - [Family] Chroomonadaceae - [Genus] Hemiselmis
Rhodomonas	Genus	106289	Pyrenomonadaceae	20999	G. Karsten, 1898	accepted	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	[] Biota - [Kingdom] Chromista - [Subkingdom] Hacrobia - [Phylum] Cryptophyta - [Class] Cryptophyceae - [Order] Pyrenomonadales - [Family] Pyrenomonadaceae - [Genus] Rhodomonas
Plagioselmis prolonga	Species	106303	Plagioselmis	106283	Butcher ex G.Novarino, I.A.N.Lucas & S.Morrall, 1994	accepted	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Plagioselmis	[] Biota - [Kingdom] Chromista - [Subkingdom] Hacrobia - [Phylum] Cryptophyta - [Class] Cryptophyceae - [Order] Pyrenomonadales - [Family] Geminigeraceae - [Genus] Plagioselmis - [Species] Plagioselmis prolonga
Teleaulax acuta	Species	106305	Teleaulax	106285	(Butcher) D.R.A.Hill, 1991	accepted	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	[] Biota - [Kingdom] Chromista - [Subkingdom] Hacrobia - [Phylum] Cryptophyta - [Class] Cryptophyceae - [Order] Pyrenomonadales - [Family] Geminigeraceae - [Genus] Teleaulax - [Species] Teleaulax acuta
Teleaulax amphioxeia	Species	106306	Teleaulax	106285	(W.Conrad) D.R.A.Hill, 1992	accepted	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	[] Biota - [Kingdom] Chromista - [Subkingdom] Hacrobia - [Phylum] Cryptophyta - [Class] Cryptophyceae - [Order] Pyrenomonadales - [Family] Geminigeraceae - [Genus] Teleaulax - [Species] Teleaulax amphioxeia
Rhodomonas marina	Species	106314	Rhodomonas	106289	(P.A.Dangeard) Lemmermann, 1899	accepted	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	[] Biota - [Kingdom] Chromista - [Subkingdom] Hacrobia - [Phylum] Cryptophyta - [Class] Cryptophyceae - [Order] Pyrenomonadales - [Family] Pyrenomonadaceae - [Genus] Rhodomonas - [Species] Rhodomonas marina
Dinophysis	Genus	109462	Dinophysaceae	231772	Ehrenberg, 1839	accepted	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysaceae	Dinophysis	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Dinophysiales - [Family] Dinophysaceae - [Genus] Dinophysis
Amphidinium	Genus	109473	Amphidiniaceae	1308689	Claperède & Lachmann, 1859	accepted	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Amphidinium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Amphidiniales - [Family] Amphidiniaceae - [Genus] Amphidinium
Gymnodinium	Genus	109475	Gymnodiniaceae	109410	F. Stein, 1878	accepted	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Gymnodiniales - [Family] Gymnodiniaceae - [Genus] Gymnodinium
Spatulodinium	Genus	109502	Kofoidiniaceae	146252	J.Cachon & M.Cachon, 1976	accepted	Chromista	Myzozoa	Dinophyceae	Noctilucales	Kofoidiniaceae	Spatulodinium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Noctilucales - [Family] Kofoidiniaceae - [Genus] Spatulodinium
Gonyaulax	Genus	109519	Gonyaulacaceae	109428	Diesing, 1866	accepted	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Gonyaulax	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Gonyaulacales - [Family] Gonyaulacaceae - [Genus] Gonyaulax
Scrippsiella	Genus	109545	Calciodinelloideae	493993	Balech ex A.R.Loeblich III, 1965	accepted	Chromista	Myzozoa	Dinophyceae	Peridiniales	Peridiniaceae	Scrippsiella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Peridiniales - [Family] Peridiniaceae - [Subfamily] Calciodinelloideae - [Genus] Scrippsiella
Amoebophrya ceratii	Species	109578	Amoebophrya	109448	(Koeppen) J.Cachon, 1964	accepted	Chromista	Myzozoa	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Syndiniales - [Family] Amoebophryaceae - [Genus] Amoebophrya - [Species] Amoebophrya ceratii
Dinophysis acuminata	Species	109603	Dinophysis	109462	Claparède & Lachmann, 1859	accepted	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysaceae	Dinophysis	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Dinophysiales - [Family] Dinophysaceae - [Genus] Dinophysis - [Species] Dinophysis acuminata
Dinophysis acuta	Species	109604	Dinophysis	109462	Ehrenberg, 1839	accepted	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysaceae	Dinophysis	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Dinophysiales - [Family] Dinophysaceae - [Genus] Dinophysis - [Species] Dinophysis acuta
Dinophysis caudata	Species	109612	Dinophysis	109462	Saville-Kent, 1881	accepted	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysaceae	Dinophysis	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Dinophysiales - [Family] Dinophysaceae - [Genus] Dinophysis - [Species] Dinophysis caudata
Dinophysis dens	Species	109616	Dinophysis	109462	Pavillard, 1915	accepted	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysaceae	Dinophysis	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Dinophysiales - [Family] Dinophysaceae - [Genus] Dinophysis - [Species] Dinophysis dens
Dinophysis norvegica	Species	109637	Dinophysis	109462	Claparède & Lachmann, 1859	accepted	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysaceae	Dinophysis	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Dinophysiales - [Family] Dinophysaceae - [Genus] Dinophysis - [Species] Dinophysis norvegica
Dinophysis odiosa	Species	109638	Dinophysis	109462	(Pavillard) Tai & Skogsberg, 1934	accepted	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysaceae	Dinophysis	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Dinophysiales - [Family] Dinophysaceae - [Genus] Dinophysis - [Species] Dinophysis odiosa
Dinophysis tripos	Species	109662	Dinophysis	109462	Gourret, 1883	accepted	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysaceae	Dinophysis	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Dinophysiales - [Family] Dinophysaceae - [Genus] Dinophysis - [Species] Dinophysis tripos
Fragilidium subglobosum	Species	109705	Fragilidium	109468	(Stosch) Loeblich III, 1980	accepted	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrophacaceae	Fragilidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Gonyaulacales - [Family] Pyrophacaceae - [Genus] Fragilidium - [Species] Fragilidium subglobosum
Alexandrium minutum	Species	109711	Alexandrium	109470	Halim, 1960	accepted	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ostreopsidaceae	Alexandrium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Gonyaulacales - [Family] Ostreopsidaceae - [Genus] Alexandrium - [Species] Alexandrium minutum
Alexandrium ostenfeldii	Species	109712	Alexandrium	109470	(Paulsen) Balech & Tangen, 1985	accepted	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ostreopsidaceae	Alexandrium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Gonyaulacales - [Family] Ostreopsidaceae - [Genus] Alexandrium - [Species] Alexandrium ostenfeldii
Alexandrium pseudogonyaulax	Species	109713	Alexandrium	109470	(Biecheler) Horiguchi ex K.Yuki & Y.Fukuyo, 1992	accepted	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ostreopsidaceae	Alexandrium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Gonyaulacales - [Family] Ostreopsidaceae - [Genus] Alexandrium - [Species] Alexandrium pseudogonyaulax
Alexandrium tamarense	Species	109714	Alexandrium	109470	(Lebour) Balech, 1995	accepted	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ostreopsidaceae	Alexandrium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Gonyaulacales - [Family] Ostreopsidaceae - [Genus] Alexandrium - [Species] Alexandrium tamarense
Achradina pulchra	Species	109716	Achradina	109471	Lohmann, 1903	accepted	Chromista	Myzozoa	Dinophyceae	Amphilothales	Amphilothaceae	Achradina	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Amphilothales - [Family] Amphilothaceae - [Genus] Achradina - [Species] Achradina pulchra
Actiniscus pentasterias	Species	109717	Actiniscus	109472	(Ehrenberg) Ehrenberg, 1844	accepted	Chromista	Myzozoa	Dinophyceae	Actiniscales	Actiniscaceae	Actiniscus	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Actiniscales - [Family] Actiniscaceae - [Genus] Actiniscus - [Species] Actiniscus pentasterias
Amphidinium carterae	Species	109723	Amphidinium	109473	Hulburt, 1957	accepted	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Amphidinium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Amphidiniales - [Family] Amphidiniaceae - [Genus] Amphidinium - [Species] Amphidinium carterae
Amphidinium crassum	Species	109726	Amphidinium	109473	Lohmann, 1908	accepted	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Amphidinium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Amphidiniales - [Family] Amphidiniaceae - [Genus] Amphidinium - [Species] Amphidinium crassum
Amphidinium longum	Species	109741	Amphidinium	109473	Lohmann, 1908	accepted	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Amphidinium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Amphidiniales - [Family] Amphidiniaceae - [Genus] Amphidinium - [Species] Amphidinium longum
Amphidinium sphenoides	Species	109754	Amphidinium	109473	WüIff, 1916	accepted	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Amphidinium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Amphidiniales - [Family] Amphidiniaceae - [Genus] Amphidinium - [Species] Amphidinium sphenoides
Gymnodinium abbreviatum	Species	109777	Gymnodinium	109475	Kofoid & Swezy, 1921	accepted	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Gymnodiniales - [Family] Gymnodiniaceae - [Genus] Gymnodinium - [Species] Gymnodinium abbreviatum
Nusuttodinium aeruginosum	Species	837252	Nusuttodinium	836674	(F.Stein) Y.Takano & T.Horiguchi, 2014	accepted	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Nusuttodinium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Myzozoa - [Subphylum] Dinozoa - [Infraphylum] Dinoflagellata - [Class] Dinophyceae - [Order] Gymnodiniales - [Family] Gymnodiniaceae - [Genus] Nusuttodinium - [Species] Nusuttodinium aeruginosum
