scientific_name	rank	aphia_id	parent_name	parent_id	authority	status	kingdom	phylum	class	order	family	genus	classification
Nephroselmidaceae	Family	368875	Nephroselmidales	368697	Skuja ex P.C. Silva, 1980	accepted	Plantae	Chlorophyta	Nephroselmidophyceae	Nephroselmidales	Nephroselmidaceae		[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Phylum (Division)] Chlorophyta - [Class] Nephroselmidophyceae - [Order] Nephroselmidales - [Family] Nephroselmidaceae
Nephroselmis	Genus	134524	Nephroselmidaceae	368875	F.Stein, 1878	accepted	Plantae	Chlorophyta	Nephroselmidophyceae	Nephroselmidales	Nephroselmidaceae	Nephroselmis	[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Phylum (Division)] Chlorophyta - [Class] Nephroselmidophyceae - [Order] Nephroselmidales - [Family] Nephroselmidaceae - [Genus] Nephroselmis
Cymbomonas	Genus	134527	Pyramimonadaceae	368883	J.Schiller, 1913	accepted	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Cymbomonas	[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Phylum (Division)] Chlorophyta - [Class] Pyramimonadophyceae - [Order] Pyramimonadales - [Family] Pyramimonadaceae - [Genus] Cymbomonas
Mamiellophyceae	Class	493835	Chlorophyta	801		accepted	Plantae	Chlorophyta	Mamiellophyceae				[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Phylum (Division)] Chlorophyta - [Class] Mamiellophyceae
Mamiellales	Order	17662	Mamiellophyceae	493835	Moestrup, 1984	accepted	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales			[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Phylum (Division)] Chlorophyta - [Class] Mamiellophyceae - [Order] Mamiellales
Mamiellaceae	Family	17663	Mamiellales	17662	Moestrup, 1984	accepted	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae		[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Phylum (Division)] Chlorophyta - [Class] Mamiellophyceae - [Order] Mamiellales - [Family] Mamiellaceae
Micromonas	Genus	134533	Mamiellaceae	17663	I.Manton & M.Parke, 1960	accepted	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Phylum (Division)] Chlorophyta - [Class] Mamiellophyceae - [Order] Mamiellales - [Family] Mamiellaceae - [Genus] Micromonas
Pseudoscourfieldiales	Order	368707	Pyramimonadophyceae	886274		accepted	Plantae	Chlorophyta	Pyramimonadophyceae	Pseudoscourfieldiales			[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Phylum (Division)] Chlorophyta - [Class] Pyramimonadophyceae - [Order] Pseudoscourfieldiales
Pycnococcaceae	Family	22613	Pseudoscourfieldiales	368707	R.R.L. Guillard	accepted	Plantae	Chlorophyta	Pyramimonadophyceae	Pseudoscourfieldiales	Pycnococcaceae		[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Phylum (Division)] Chlorophyta - [Class] Pyramimonadophyceae - [Order] Pseudoscourfieldiales - [Family] Pycnococcaceae
Pseudoscourfieldia	Genus	134534	Pycnococcaceae	22613	I.Manton, 1975	accepted	Plantae	Chlorophyta	Pyramimonadophyceae	Pseudoscourfieldiales	Pycnococcaceae	Pseudoscourfieldia	[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Phylum (Division)] Chlorophyta - [Class] Pyramimonadophyceae - [Order] Pseudoscourfieldiales - [Family] Pycnococcaceae - [Genus] Pseudoscourfieldia
Imbricatea	Class	591238	Ventrifilosa	590698	Cavalier-Smith, 2003	accepted	Chromista	Cercozoa	Imbricatea				[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Rhizaria - [Phylum] Cercozoa - [Subphylum] Filosa - [Superclass] Ventrifilosa - [Class] Imbricatea
Euglyphida	Order	22624	Imbricatea	591238		accepted	Chromista	Cercozoa	Imbricatea	Euglyphida			[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Rhizaria - [Phylum] Cercozoa - [Subphylum] Filosa - [Superclass] Ventrifilosa - [Class] Imbricatea - [Order] Euglyphida
Paulinellideae	Family	599588	Euglyphida	22624		accepted	Chromista	Cercozoa	Imbricatea	Euglyphida	Paulinellideae		[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Rhizaria - [Phylum] Cercozoa - [Subphylum] Filosa - [Superclass] Ventrifilosa - [Class] Imbricatea - [Order] Euglyphida - [Family] Paulinellideae
